ts_ms,sta,status_code,latency_ms,ap,rssi_dbm
1773327181857,sta2,200,7.191,02:00:00:00:02:00,-64.0
1773327181997,sta2,200,7.453,02:00:00:00:02:00,-64.0
1773327182135,sta2,200,6.419,02:00:00:00:02:00,-64.0
1773327182275,sta2,200,8.203,02:00:00:00:02:00,-64.0
1773327182416,sta2,200,7.232,02:00:00:00:02:00,-64.0
1773327182555,sta2,200,7.613,02:00:00:00:02:00,-64.0
1773327182695,sta2,200,8.35,02:00:00:00:02:00,-64.0
1773327182835,sta2,200,7.543,02:00:00:00:02:00,-64.0
1773327182973,sta2,200,6.439,02:00:00:00:02:00,-64.0
1773327183111,sta2,200,7.696,02:00:00:00:02:00,-64.0
1773327183251,sta2,200,8.209,02:00:00:00:02:00,-64.0
1773327183391,sta2,200,8.122,02:00:00:00:02:00,-64.0
1773327183530,sta2,200,7.649,02:00:00:00:02:00,-64.0
1773327183671,sta2,200,7.266,02:00:00:00:02:00,-64.0
1773327183809,sta2,200,8.07,02:00:00:00:02:00,-64.0
1773327183952,sta2,200,8.142,02:00:00:00:02:00,-64.0
1773327184093,sta2,200,6.271,02:00:00:00:02:00,-64.0
1773327184231,sta2,200,12.5,02:00:00:00:02:00,-64.0
1773327184376,sta2,200,8.833,02:00:00:00:02:00,-64.0
1773327184522,sta2,200,11.652,02:00:00:00:02:00,-64.0
1773327184670,sta2,200,10.252,02:00:00:00:02:00,-64.0
1773327184816,sta2,200,8.802,02:00:00:00:02:00,-64.0
1773327184954,sta2,200,8.548,02:00:00:00:02:00,-64.0
1773327185093,sta2,200,7.236,02:00:00:00:02:00,-64.0
1773327185235,sta2,200,7.251,02:00:00:00:02:00,-64.0
1773327185375,sta2,200,6.482,02:00:00:00:02:00,-64.0
1773327185514,sta2,200,7.385,02:00:00:00:02:00,-64.0
1773327185654,sta2,200,5.582,02:00:00:00:02:00,-64.0
1773327185792,sta2,200,6.855,02:00:00:00:02:00,-64.0
1773327185930,sta2,200,6.547,02:00:00:00:02:00,-64.0
1773327186067,sta2,200,9.024,02:00:00:00:02:00,-64.0
1773327186208,sta2,200,7.532,02:00:00:00:02:00,-64.0
1773327186348,sta2,200,7.149,02:00:00:00:02:00,-64.0
1773327186488,sta2,200,7.433,02:00:00:00:02:00,-64.0
1773327186628,sta2,200,7.053,02:00:00:00:02:00,-64.0
1773327186770,sta2,200,7.402,02:00:00:00:02:00,-64.0
1773327186912,sta2,200,5.49,02:00:00:00:02:00,-64.0
1773327187052,sta2,200,7.816,02:00:00:00:02:00,-64.0
1773327187192,sta2,200,6.135,02:00:00:00:02:00,-64.0
1773327187330,sta2,200,5.908,02:00:00:00:02:00,-64.0
1773327187467,sta2,200,6.611,02:00:00:00:02:00,-64.0
1773327187605,sta2,200,8.518,02:00:00:00:02:00,-64.0
1773327187746,sta2,200,6.801,02:00:00:00:02:00,-64.0
1773327187885,sta2,200,9.145,02:00:00:00:02:00,-64.0
1773327188025,sta2,200,8.309,02:00:00:00:02:00,-64.0
1773327188166,sta2,200,6.832,02:00:00:00:02:00,-64.0
1773327188304,sta2,200,8.029,02:00:00:00:02:00,-64.0
1773327188444,sta2,200,6.522,02:00:00:00:02:00,-64.0
1773327188586,sta2,200,11.895,02:00:00:00:02:00,-64.0
1773327188741,sta2,200,9.183,02:00:00:00:02:00,-64.0
1773327188887,sta2,200,7.632,02:00:00:00:02:00,-64.0
1773327189030,sta2,200,12.27,02:00:00:00:02:00,-64.0
1773327189178,sta2,200,6.099,02:00:00:00:02:00,-64.0
