ts_ms,sta,status_code,latency_ms
1773327181857,sta2,200,7.191
1773327181857,sta1,200,8.010
1773327181997,sta2,200,7.453
1773327182002,sta1,200,6.429
1773327182135,sta2,200,6.419
1773327182140,sta1,200,5.507
1773327182276,sta1,200,7.907
1773327182275,sta2,200,8.203
1773327182416,sta1,200,7.743
1773327182416,sta2,200,7.232
1773327182554,sta1,200,7.228
1773327182555,sta2,200,7.613
1773327182694,sta1,200,8.094
1773327182695,sta2,200,8.350
1773327182835,sta1,200,8.085
1773327182835,sta2,200,7.543
1773327182973,sta2,200,6.439
1773327182973,sta1,200,5.677
1773327183111,sta2,200,7.696
1773327183112,sta1,200,7.099
1773327183252,sta1,200,7.918
1773327183251,sta2,200,8.209
1773327183391,sta2,200,8.122
1773327183390,sta1,200,8.238
1773327183530,sta1,200,8.080
1773327183530,sta2,200,7.649
1773327183671,sta2,200,7.266
1773327183670,sta1,200,7.059
1773327183809,sta1,200,8.820
1773327183809,sta2,200,8.070
1773327183952,sta1,200,7.751
1773327183952,sta2,200,8.142
1773327184093,sta2,200,6.271
1773327184093,sta1,200,6.178
1773327184232,sta1,200,11.425
1773327184231,sta2,200,12.500
1773327184375,sta1,200,10.574
1773327184376,sta2,200,8.833
1773327184522,sta2,200,11.652
1773327184522,sta1,200,11.231
1773327184670,sta1,200,10.781
1773327184670,sta2,200,10.252
1773327184816,sta2,200,8.802
1773327184815,sta1,200,8.396
1773327184954,sta2,200,8.548
1773327184954,sta1,200,7.990
1773327185093,sta1,200,6.618
1773327185093,sta2,200,7.236
1773327185233,sta1,200,8.838
1773327185235,sta2,200,7.251
1773327185374,sta1,200,7.159
1773327185375,sta2,200,6.482
1773327185513,sta1,200,5.282
1773327185514,sta2,200,7.385
1773327185649,sta1,200,7.700
1773327185654,sta2,200,5.582
1773327185788,sta1,200,6.685
1773327185792,sta2,200,6.855
1773327185930,sta2,200,6.547
1773327185928,sta1,200,7.551
1773327186069,sta1,200,7.869
1773327186067,sta2,200,9.024
1773327186208,sta2,200,7.532
1773327186208,sta1,200,7.780
1773327186348,sta2,200,7.149
1773327186348,sta1,200,8.099
1773327186488,sta1,200,7.270
1773327186488,sta2,200,7.433
1773327186626,sta1,200,5.977
1773327186628,sta2,200,7.053
1773327186766,sta1,200,8.297
1773327186770,sta2,200,7.402
1773327186909,sta1,200,6.032
1773327186912,sta2,200,5.490
1773327187046,sta1,200,7.220
1773327187052,sta2,200,7.816
