ts_ms,sta,ap,rssi_dbm
1776976489958,sta1,02:00:00:00:04:00,-44
1776976489958,sta2,02:00:00:00:04:00,-44
1776976489958,sta3,02:00:00:00:05:00,-44
1776976489958,sta4,02:00:00:00:06:00,-44
1776976490999,sta1,02:00:00:00:04:00,-44
1776976490999,sta2,02:00:00:00:04:00,-44
1776976490999,sta3,02:00:00:00:05:00,-44
1776976490999,sta4,02:00:00:00:06:00,-44
1776976492038,sta1,02:00:00:00:04:00,-44
1776976492038,sta2,02:00:00:00:04:00,-44
1776976492038,sta3,02:00:00:00:05:00,-44
1776976492038,sta4,02:00:00:00:06:00,-44
1776976493080,sta1,02:00:00:00:04:00,-44
1776976493080,sta2,02:00:00:00:04:00,-44
1776976493080,sta3,02:00:00:00:05:00,-44
1776976493080,sta4,02:00:00:00:06:00,-44
1776976494139,sta1,02:00:00:00:04:00,-44
1776976494139,sta2,02:00:00:00:04:00,-44
1776976494139,sta3,02:00:00:00:05:00,-44
1776976494139,sta4,02:00:00:00:06:00,-44
1776976495174,sta1,02:00:00:00:04:00,-44
1776976495174,sta2,02:00:00:00:04:00,-44
1776976495174,sta3,02:00:00:00:05:00,-44
1776976495174,sta4,02:00:00:00:06:00,-44
1776976496215,sta1,02:00:00:00:04:00,-44
1776976496215,sta2,02:00:00:00:04:00,-44
1776976496215,sta3,02:00:00:00:05:00,-44
1776976496215,sta4,02:00:00:00:06:00,-44
1776976497242,sta1,02:00:00:00:04:00,-44
1776976497242,sta2,02:00:00:00:04:00,-44
1776976497242,sta3,02:00:00:00:05:00,-44
1776976497242,sta4,02:00:00:00:06:00,-44
1776976498305,sta1,02:00:00:00:04:00,-44
1776976498305,sta2,02:00:00:00:04:00,-44
1776976498305,sta3,02:00:00:00:05:00,-44
1776976498305,sta4,02:00:00:00:06:00,-44
1776976499330,sta1,02:00:00:00:04:00,-44
1776976499330,sta2,02:00:00:00:04:00,-44
1776976499330,sta3,02:00:00:00:05:00,-44
1776976499330,sta4,02:00:00:00:06:00,-44
1776976500378,sta1,02:00:00:00:04:00,-44
1776976500378,sta2,02:00:00:00:04:00,-44
1776976500378,sta3,02:00:00:00:05:00,-44
1776976500378,sta4,02:00:00:00:06:00,-44
1776976501403,sta1,02:00:00:00:04:00,-44
1776976501403,sta2,02:00:00:00:04:00,-44
1776976501403,sta3,02:00:00:00:05:00,-44
1776976501403,sta4,02:00:00:00:06:00,-44
1776976502483,sta1,02:00:00:00:04:00,-44
1776976502483,sta2,02:00:00:00:04:00,-44
