ts_ms,sta,request_id,status_code,latency_ms
1776976489961,sta3,1,200,10.913
1776976489960,sta2,1,200,11.743
1776976489962,sta4,1,200,10.86
1776976489960,sta1,1,200,13.239
1776976490007,sta2,2,200,9.987
1776976490007,sta3,2,200,8.633000000000001
1776976490013,sta4,2,200,7.531000000000001
1776976490014,sta1,2,200,6.368
1776976490049,sta2,3,200,8.886
1776976490051,sta3,3,200,11.030999999999999
1776976490056,sta4,3,200,7.684
1776976490061,sta1,3,200,6.84
1776976490091,sta2,4,200,9.797
1776976490097,sta3,4,200,8.824
1776976490101,sta4,4,200,8.234
1776976490109,sta1,4,200,11.174999999999999
1776976490135,sta2,5,200,6.6610000000000005
1776976490144,sta3,5,200,8.947999999999999
1776976490150,sta4,5,200,11.897
1776976490153,sta1,5,200,11.499
1776976490174,sta2,6,200,8.933
1776976490191,sta3,6,200,11.988
1776976490198,sta1,6,200,13.857
1776976490198,sta4,6,200,10.74
1776976490218,sta2,7,200,7.590999999999999
1776976490247,sta4,7,200,9.235
1776976490243,sta3,7,200,10.306
1776976490246,sta1,7,200,10.163
1776976490260,sta2,8,200,9.638
1776976490288,sta4,8,200,12.017999999999999
1776976490295,sta1,8,200,8.831999999999999
1776976490292,sta3,8,200,12.657
1776976490303,sta2,9,200,8.106
1776976490339,sta3,9,200,10.844
1776976490334,sta4,9,200,13.206000000000001
1776976490338,sta1,9,200,9.567
1776976490347,sta2,10,200,10.314
1776976490383,sta4,10,200,9.846
1776976490387,sta1,10,200,10.138
1776976490382,sta3,10,200,11.625
1776976490395,sta2,11,200,7.239
1776976490425,sta4,11,200,10.958
1776976490428,sta1,11,200,7.8740000000000006
1776976490431,sta3,11,200,10.123
1776976490438,sta2,12,200,8.645999999999999
1776976490469,sta4,12,200,11.984
1776976490470,sta1,12,200,12.536
1776976490475,sta3,12,200,10.694
1776976490486,sta2,13,200,7.86
1776976490515,sta4,13,200,11.168000000000001
1776976490516,sta1,13,200,10.116999999999999
1776976490521,sta3,13,200,8.985999999999999
1776976490534,sta2,14,200,8.524000000000001
1776976490559,sta1,14,200,10.041
1776976490558,sta4,14,200,9.879999999999999
1776976490567,sta3,14,200,9.657
1776976490578,sta2,15,200,6.995
1776976490605,sta1,15,200,9.405
1776976490608,sta4,15,200,8.418999999999999
1776976490613,sta3,15,200,10.385
1776976490619,sta2,16,200,11.075
1776976490646,sta1,16,200,9.053
1776976490661,sta3,16,200,9.597
1776976490655,sta4,16,200,9.343
1776976490662,sta2,17,200,9.202
1776976490688,sta1,17,200,6.764
1776976490703,sta3,17,200,6.942
1776976490704,sta2,18,200,9.875
1776976490704,sta4,17,200,10.895999999999999
1776976490728,sta1,18,200,6.8919999999999995
1776976490742,sta3,18,200,8.496
1776976490753,sta4,18,200,9.526
1776976490752,sta2,19,200,8.208
1776976490767,sta1,19,200,8.761
1776976490783,sta3,19,200,6.038
1776976490795,sta4,19,200,7.4559999999999995
1776976490798,sta2,20,200,6.993
1776976490812,sta1,20,200,6.652
1776976490825,sta3,20,200,8.907
1776976490838,sta4,20,200,10.030000000000001
1776976490842,sta2,21,200,7.233
1776976490857,sta1,21,200,7.068
1776976490872,sta3,21,200,9.091999999999999
1776976490879,sta4,21,200,10.642000000000001
1776976490884,sta2,22,200,9.434
1776976490901,sta1,22,200,9.513
1776976490917,sta3,22,200,7.929
1776976490922,sta4,22,200,10.522
1776976490928,sta2,23,200,8.552999999999999
1776976490946,sta1,23,200,7.683
1776976490959,sta3,23,200,8.364
1776976490969,sta4,23,200,8.919
1776976490976,sta2,24,200,6.649
1776976490986,sta1,24,200,8.349
1776976491006,sta3,24,200,12.426
1776976491009,sta4,24,200,11.081999999999999
1776976491017,sta2,25,200,8.812999999999999
1776976491026,sta1,25,200,8.46
1776976491052,sta4,25,200,9.401
1776976491051,sta3,25,200,9.416
1776976491064,sta2,26,200,9.565000000000001
1776976491075,sta1,26,200,11.545
1776976491094,sta4,26,200,7.628
1776976491098,sta3,26,200,9.952
1776976491113,sta2,27,200,9.966
1776976491119,sta1,27,200,9.440999999999999
1776976491133,sta4,27,200,8.607999999999999
1776976491147,sta3,27,200,11.700000000000001
1776976491157,sta2,28,200,9.849
1776976491167,sta1,28,200,12.338999999999999
1776976491183,sta4,28,200,9.357000000000001
1776976491198,sta3,28,200,9.768
1776976491206,sta2,29,200,9.221
1776976491216,sta1,29,200,11.253
1776976491231,sta4,29,200,12.697999999999999
1776976491243,sta3,29,200,7.979
1776976491249,sta2,30,200,9.367
1776976491268,sta1,30,200,8.828000000000001
1776976491278,sta4,30,200,8.859
1776976491291,sta3,30,200,9.553
1776976491301,sta2,31,200,9.654
1776976491314,sta1,31,200,8.463999999999999
1776976491320,sta4,31,200,8.173
1776976491332,sta3,31,200,9.618
1776976491351,sta2,32,200,11.17
1776976491360,sta1,32,200,16.397
1776976491368,sta4,32,200,14.072
1776976491377,sta3,32,200,8.177
1776976491401,sta2,33,200,12.364
1776976491409,sta1,33,200,11.275
1776976491416,sta4,33,200,7.882999999999999
1776976491419,sta3,33,200,8.785
1776976491446,sta2,34,200,9.072000000000001
1776976491455,sta1,34,200,12.383
1776976491458,sta4,34,200,10.769
1776976491465,sta3,34,200,7.199
1776976491488,sta2,35,200,8.848
1776976491501,sta4,35,200,10.863
1776976491500,sta1,35,200,12.614
1776976491512,sta3,35,200,9.918
1776976491529,sta2,36,200,8.241999999999999
1776976491546,sta4,36,200,10.876999999999999
1776976491546,sta1,36,200,13.399
1776976491559,sta3,36,200,8.236
1776976491575,sta2,37,200,9.128
1776976491596,sta4,37,200,11.401
1776976491596,sta1,37,200,12.022
1776976491600,sta3,37,200,14.472000000000001
1776976491617,sta2,38,200,9.877
1776976491646,sta3,38,200,15.823
1776976491646,sta1,38,200,16.799000000000003
1776976491643,sta4,38,200,16.105
1776976491660,sta2,39,200,6.772
1776976491696,sta4,39,200,12.782
1776976491693,sta3,39,200,13.88
1776976491695,sta1,39,200,15.329
1776976491704,sta2,40,200,9.078
1776976491742,sta4,40,200,9.332
1776976491745,sta3,40,200,10.042
1776976491746,sta1,40,200,9.417
1776976491752,sta2,41,200,9.886000000000001
1776976491785,sta4,41,200,9.17
1776976491791,sta3,41,200,8.251
1776976491794,sta1,41,200,10.456
1776976491801,sta2,42,200,9.017000000000001
1776976491826,sta4,42,200,9.641
1776976491834,sta3,42,200,9.440999999999999
1776976491841,sta1,42,200,9.435
1776976491850,sta2,43,200,9.583
1776976491868,sta4,43,200,8.663
1776976491877,sta3,43,200,7.901999999999999
1776976491884,sta1,43,200,7.289000000000001
1776976491893,sta2,44,200,7.885
1776976491912,sta4,44,200,8.562
1776976491919,sta3,44,200,9.114
1776976491930,sta1,44,200,7.609
1776976491940,sta2,45,200,8.565
1776976491957,sta4,45,200,7.715
1776976491960,sta3,45,200,9.613999999999999
1776976491971,sta1,45,200,8.567
1776976491987,sta2,46,200,8.5
1776976491997,sta4,46,200,9.453
1776976492005,sta3,46,200,10.982000000000001
1776976492013,sta1,46,200,9.951
1776976492029,sta2,47,200,9.105
1776976492048,sta3,47,200,10.741
1776976492044,sta4,47,200,10.372
1776976492059,sta1,47,200,7.927999999999999
1776976492076,sta2,48,200,8.486
1776976492092,sta3,48,200,11.449000000000002
1776976492094,sta4,48,200,12.975
1776976492106,sta1,48,200,12.027
1776976492119,sta2,49,200,9.216999999999999
1776976492139,sta3,49,200,12.555
1776976492140,sta4,49,200,13.705
1776976492151,sta1,49,200,10.35
1776976492166,sta2,50,200,8.792
