ts_ms,sta,status_code,latency_ms,ap,rssi_dbm
1772910831846,sta2,200,11.375,02:00:00:00:02:00,-64.0
1772910831982,sta2,200,7.973,02:00:00:00:02:00,-64.0
1772910832122,sta2,200,5.251,02:00:00:00:02:00,-64.0
1772910832257,sta2,200,5.505,02:00:00:00:02:00,-64.0
1772910832391,sta2,200,8.107,02:00:00:00:02:00,-64.0
1772910832531,sta2,200,8.248,02:00:00:00:02:00,-64.0
1772910832673,sta2,200,6.556,02:00:00:00:02:00,-64.0
1772910832810,sta2,200,7.55,02:00:00:00:02:00,-64.0
1772910832947,sta2,200,7.055,02:00:00:00:02:00,-64.0
1772910833085,sta2,200,4.883,02:00:00:00:02:00,-64.0
1772910833220,sta2,200,7.976,02:00:00:00:02:00,-64.0
1772910833359,sta2,200,6.58,02:00:00:00:02:00,-64.0
1772910833495,sta2,200,5.131,02:00:00:00:02:00,-64.0
1772910833630,sta2,200,6.409,02:00:00:00:02:00,-64.0
1772910833767,sta2,200,7.24,02:00:00:00:02:00,-64.0
1772910833907,sta2,200,7.7,02:00:00:00:02:00,-64.0
1772910834048,sta2,200,8.372,02:00:00:00:02:00,-64.0
1772910834190,sta2,200,7.426,02:00:00:00:02:00,-64.0
1772910834330,sta2,200,6.885,02:00:00:00:02:00,-64.0
1772910834470,sta2,200,6.532,02:00:00:00:02:00,-64.0
1772910834610,sta2,200,7.416,02:00:00:00:02:00,-64.0
1772910834748,sta2,200,6.667,02:00:00:00:02:00,-64.0
1772910834887,sta2,200,6.05,02:00:00:00:02:00,-64.0
1772910835022,sta2,200,5.677,02:00:00:00:02:00,-64.0
1772910835157,sta2,200,7.253,02:00:00:00:02:00,-64.0
1772910835293,sta2,200,7.885,02:00:00:00:02:00,-64.0
1772910835430,sta2,200,5.809,02:00:00:00:02:00,-64.0
1772910835567,sta2,200,5.32,02:00:00:00:02:00,-64.0
1772910835701,sta2,200,5.041,02:00:00:00:02:00,-64.0
1772910835837,sta2,200,7.496,02:00:00:00:02:00,-64.0
1772910835975,sta2,200,7.442,02:00:00:00:02:00,-64.0
1772910836113,sta2,200,3.445,02:00:00:00:02:00,-64.0
1772910836245,sta2,200,3.441,02:00:00:00:02:00,-64.0
1772910836380,sta2,200,3.93,02:00:00:00:02:00,-64.0
1772910836513,sta2,200,4.605,02:00:00:00:02:00,-64.0
1772910836648,sta2,200,5.935,02:00:00:00:02:00,-64.0
1772910836788,sta2,200,5.914,02:00:00:00:02:00,-64.0
1772910836927,sta2,200,6.352,02:00:00:00:02:00,-64.0
1772910837066,sta2,200,6.052,02:00:00:00:02:00,-64.0
1772910837203,sta2,200,7.165,02:00:00:00:02:00,-64.0
1772910837339,sta2,200,6.312,02:00:00:00:02:00,-64.0
1772910837476,sta2,200,7.976,02:00:00:00:02:00,-64.0
1772910837616,sta2,200,7.035,02:00:00:00:02:00,-64.0
1772910837753,sta2,200,5.475,02:00:00:00:02:00,-64.0
1772910837889,sta2,200,5.559,02:00:00:00:02:00,-64.0
1772910838022,sta2,200,5.081,02:00:00:00:02:00,-64.0
1772910838156,sta2,200,6.404,02:00:00:00:02:00,-64.0
1772910838292,sta2,200,5.7,02:00:00:00:02:00,-64.0
1772910838429,sta2,200,5.6,02:00:00:00:02:00,-64.0
1772910838564,sta2,200,5.61,02:00:00:00:02:00,-64.0
1772910838700,sta2,200,5.151,02:00:00:00:02:00,-64.0
1772910838835,sta2,200,3.949,02:00:00:00:02:00,-64.0
1772910838967,sta2,200,4.359,02:00:00:00:02:00,-64.0
1772910839102,sta2,200,5.025,02:00:00:00:02:00,-64.0
1772910839237,sta2,200,3.973,02:00:00:00:02:00,-64.0
