ts_ms,sta,status_code,latency_ms
1772910831846,sta2,200,11.375
1772910831846,sta1,200,15.991
1772910831982,sta2,200,7.973
1772910831988,sta1,200,6.717
1772910832122,sta2,200,5.251
1772910832126,sta1,200,4.471
1772910832257,sta2,200,5.505
1772910832260,sta1,200,4.745
1772910832393,sta1,200,8.195
1772910832391,sta2,200,8.107
1772910832531,sta1,200,7.361
1772910832531,sta2,200,8.248
1772910832673,sta2,200,6.556
1772910832673,sta1,200,5.999
1772910832810,sta1,200,6.129
1772910832810,sta2,200,7.550
1772910832946,sta1,200,7.290
1772910832947,sta2,200,7.055
1772910833085,sta1,200,5.398
1772910833085,sta2,200,4.883
1772910833220,sta1,200,7.699
1772910833220,sta2,200,7.976
1772910833358,sta1,200,7.287
1772910833359,sta2,200,6.580
1772910833495,sta2,200,5.131
1772910833495,sta1,200,5.228
1772910833630,sta1,200,5.353
1772910833630,sta2,200,6.409
1772910833767,sta2,200,7.240
1772910833767,sta1,200,7.891
1772910833908,sta1,200,8.693
1772910833907,sta2,200,7.700
1772910834048,sta1,200,7.434
1772910834048,sta2,200,8.372
1772910834190,sta1,200,7.399
1772910834190,sta2,200,7.426
1772910834330,sta1,200,7.280
1772910834330,sta2,200,6.885
1772910834470,sta1,200,6.449
1772910834470,sta2,200,6.532
1772910834610,sta2,200,7.416
1772910834608,sta1,200,8.457
1772910834748,sta2,200,6.667
1772910834748,sta1,200,6.224
1772910834887,sta2,200,6.050
1772910834887,sta1,200,5.568
1772910835022,sta2,200,5.677
1772910835022,sta1,200,5.349
1772910835157,sta1,200,6.152
1772910835157,sta2,200,7.253
1772910835293,sta2,200,7.885
1772910835293,sta1,200,7.497
1772910835430,sta2,200,5.809
1772910835430,sta1,200,5.902
1772910835567,sta2,200,5.320
1772910835567,sta1,200,5.489
1772910835702,sta1,200,4.752
1772910835701,sta2,200,5.041
1772910835837,sta2,200,7.496
1772910835836,sta1,200,7.624
1772910835976,sta1,200,7.052
1772910835975,sta2,200,7.442
1772910836113,sta2,200,3.445
1772910836113,sta1,200,5.717
1772910836245,sta2,200,3.441
1772910836249,sta1,200,6.445
1772910836380,sta2,200,3.930
1772910836383,sta1,200,4.381
1772910836513,sta2,200,4.605
1772910836517,sta1,200,5.533
1772910836648,sta2,200,5.935
1772910836651,sta1,200,6.119
1772910836788,sta2,200,5.914
1772910836791,sta1,200,6.911
1772910836927,sta2,200,6.352
1772910836931,sta1,200,5.761
1772910837066,sta2,200,6.052
1772910837069,sta1,200,5.273
1772910837203,sta2,200,7.165
1772910837203,sta1,200,7.476
1772910837339,sta2,200,6.312
1772910837339,sta1,200,6.875
1772910837477,sta1,200,8.346
1772910837476,sta2,200,7.976
1772910837616,sta2,200,7.035
1772910837615,sta1,200,6.952
1772910837753,sta2,200,5.475
1772910837754,sta1,200,6.186
1772910837890,sta1,200,5.331
1772910837889,sta2,200,5.559
1772910838022,sta2,200,5.081
1772910838022,sta1,200,6.214
1772910838157,sta1,200,5.955
1772910838156,sta2,200,6.404
1772910838292,sta1,200,6.050
1772910838292,sta2,200,5.700
1772910838429,sta1,200,4.935
1772910838429,sta2,200,5.600
1772910838564,sta2,200,5.610
1772910838564,sta1,200,6.172
1772910838700,sta1,200,5.195
1772910838700,sta2,200,5.151
1772910838835,sta2,200,3.949
1772910838835,sta1,200,5.956
1772910838967,sta2,200,4.359
1772910838970,sta1,200,4.493
1772910839102,sta2,200,5.025
1772910839103,sta1,200,5.448
1772910839237,sta2,200,3.973
1772910839238,sta1,200,5.245
1772910839371,sta2,200,8.833
1772910839372,sta1,200,9.610
1772910839513,sta1,200,8.696
1772910839513,sta2,200,7.821
1772910839654,sta1,200,6.140
1772910839654,sta2,200,6.748
1772910839791,sta1,200,4.809
1772910839791,sta2,200,4.916
1772910839925,sta1,200,2.943
1772910839925,sta2,200,3.118
1772910840057,sta2,200,5.377
1772910840056,sta1,200,5.739
1772910840192,sta2,200,6.506
1772910840192,sta1,200,6.717
1772910840329,sta2,200,6.950
1772910840329,sta1,200,7.253
1772910840468,sta1,200,4.683
1772910840468,sta2,200,4.895
1772910840603,sta2,200,7.656
1772910840602,sta1,200,8.027
1772910840740,sta2,200,6.077
1772910840741,sta1,200,5.964
1772910840877,sta1,200,6.379
1772910840876,sta2,200,6.744
1772910841013,sta2,200,4.225
1772910841013,sta1,200,4.939
1772910841146,sta2,200,5.834
1772910841148,sta1,200,6.521
1772910841284,sta1,200,6.995
1772910841284,sta2,200,7.045
1772910841448,sta1,200,6.730
1772910841448,sta2,200,9.138
1772910841590,sta1,200,5.277
1772910841592,sta2,200,5.717
1772910841726,sta1,200,3.194
1772910841727,sta2,200,3.883
1772910841858,sta1,200,5.741
1772910841861,sta2,200,6.401
1772910841995,sta1,200,6.312
1772910841996,sta2,200,5.928
1772910842132,sta1,200,4.568
1772910842132,sta2,200,5.006
1772910842268,sta1,200,4.622
1772910842269,sta2,200,5.917
1772910842403,sta1,200,4.894
1772910842405,sta2,200,5.351
1772910842537,sta1,200,7.294
1772910842539,sta2,200,6.858
1772910842675,sta2,200,6.633
1772910842675,sta1,200,6.114
1772910842812,sta1,200,6.990
1772910842812,sta2,200,8.336
1772910842949,sta1,200,5.653
1772910842951,sta2,200,5.619
1772910843084,sta1,200,4.386
1772910843086,sta2,200,5.338
1772910843221,sta2,200,6.627
1772910843219,sta1,200,7.423
1772910843356,sta2,200,4.124
1772910843357,sta1,200,4.646
1772910843492,sta1,200,7.089
1772910843491,sta2,200,7.692
1772910843628,sta1,200,5.322
1772910843629,sta2,200,5.985
1772910843764,sta1,200,7.195
1772910843766,sta2,200,7.367
1772910843903,sta2,200,4.949
1772910843903,sta1,200,6.352
1772910844039,sta1,200,6.155
1772910844038,sta2,200,6.584
1772910844175,sta1,200,5.979
1772910844175,sta2,200,6.809
1772910844313,sta2,200,7.938
1772910844312,sta1,200,7.524
1772910844451,sta2,200,5.145
1772910844451,sta1,200,6.315
1772910844587,sta2,200,6.508
1772910844589,sta1,200,7.091
1772910844725,sta2,200,5.191
