ts_ms,sta,ap,rssi_dbm
1772910831846,sta1,02:00:00:00:02:00,-39
1772910831846,sta2,02:00:00:00:02:00,-64
1772910832864,sta1,02:00:00:00:02:00,-39
1772910832864,sta2,02:00:00:00:02:00,-64
1772910833869,sta1,02:00:00:00:02:00,-39
1772910833869,sta2,02:00:00:00:02:00,-64
1772910834876,sta1,02:00:00:00:02:00,-39
1772910834876,sta2,02:00:00:00:02:00,-64
1772910835883,sta1,02:00:00:00:02:00,-39
1772910835883,sta2,02:00:00:00:02:00,-64
1772910836889,sta1,02:00:00:00:02:00,-39
1772910836889,sta2,02:00:00:00:02:00,-64
1772910837896,sta1,02:00:00:00:02:00,-39
1772910837896,sta2,02:00:00:00:02:00,-64
1772910838904,sta1,02:00:00:00:02:00,-39
1772910838904,sta2,02:00:00:00:02:00,-64
1772910839911,sta1,02:00:00:00:02:00,-39
1772910839911,sta2,02:00:00:00:02:00,-64
1772910840917,sta1,02:00:00:00:02:00,-39
1772910840917,sta2,02:00:00:00:02:00,-64
1772910841924,sta1,02:00:00:00:02:00,-39
1772910841924,sta2,02:00:00:00:02:00,-64
1772910842931,sta1,02:00:00:00:02:00,-39
1772910842931,sta2,02:00:00:00:02:00,-64
1772910843938,sta1,02:00:00:00:02:00,-39
1772910843938,sta2,02:00:00:00:02:00,-64
1772910844945,sta1,02:00:00:00:02:00,-39
1772910844945,sta2,02:00:00:00:02:00,-64
1772910845952,sta1,02:00:00:00:02:00,-39
1772910845952,sta2,02:00:00:00:02:00,-64
1772910846960,sta1,02:00:00:00:02:00,-39
1772910846960,sta2,02:00:00:00:02:00,-64
1772910847967,sta1,02:00:00:00:02:00,-39
1772910847967,sta2,02:00:00:00:02:00,-64
1772910848975,sta1,02:00:00:00:02:00,-39
1772910848975,sta2,02:00:00:00:02:00,-64
1772910849981,sta1,02:00:00:00:02:00,-39
1772910849981,sta2,02:00:00:00:02:00,-64
1772910850990,sta1,02:00:00:00:02:00,-39
1772910850990,sta2,02:00:00:00:02:00,-64
1772910851997,sta1,02:00:00:00:02:00,-39
1772910851997,sta2,02:00:00:00:02:00,-64
1772910853004,sta1,02:00:00:00:02:00,-39
1772910853004,sta2,02:00:00:00:02:00,-64
1772910854011,sta1,02:00:00:00:02:00,-39
1772910854011,sta2,02:00:00:00:02:00,-64
1772910855030,sta1,02:00:00:00:02:00,-39
1772910855030,sta2,02:00:00:00:02:00,-64
1772910856037,sta1,02:00:00:00:02:00,-39
1772910856037,sta2,02:00:00:00:02:00,-64
1772910857043,sta1,02:00:00:00:02:00,-39
1772910857043,sta2,02:00:00:00:02:00,-64
1772910858058,sta1,02:00:00:00:02:00,-39
1772910858058,sta2,02:00:00:00:02:00,-64
1772910859064,sta1,02:00:00:00:02:00,-39
1772910859064,sta2,02:00:00:00:02:00,-64
1772910860070,sta1,02:00:00:00:02:00,-39
1772910860070,sta2,02:00:00:00:02:00,-64
1772910861076,sta1,02:00:00:00:02:00,-39
1772910861076,sta2,02:00:00:00:02:00,-64
1772910862081,sta1,02:00:00:00:02:00,-39
1772910862081,sta2,02:00:00:00:02:00,-64
1772910863086,sta1,02:00:00:00:02:00,-39
1772910863086,sta2,02:00:00:00:02:00,-64
1772910864106,sta1,02:00:00:00:02:00,-39
1772910864106,sta2,02:00:00:00:02:00,-64
1772910865112,sta1,02:00:00:00:02:00,-39
1772910865112,sta2,02:00:00:00:02:00,-64
1772910866118,sta1,02:00:00:00:02:00,-39
1772910866118,sta2,02:00:00:00:02:00,-64
1772910867124,sta1,02:00:00:00:02:00,-39
1772910867124,sta2,02:00:00:00:02:00,-64
1772910868131,sta1,02:00:00:00:02:00,-39
1772910868131,sta2,02:00:00:00:02:00,-64
1772910869136,sta1,02:00:00:00:02:00,-39
1772910869136,sta2,02:00:00:00:02:00,-64
1772910870141,sta1,02:00:00:00:02:00,-39
1772910870141,sta2,02:00:00:00:02:00,-64
1772910871148,sta1,02:00:00:00:02:00,-39
1772910871148,sta2,02:00:00:00:02:00,-64
1772910872156,sta1,02:00:00:00:02:00,-39
1772910872156,sta2,02:00:00:00:02:00,-64
1772910873172,sta1,02:00:00:00:02:00,-39
1772910873172,sta2,02:00:00:00:02:00,-64
1772910874179,sta1,02:00:00:00:02:00,-39
1772910874179,sta2,02:00:00:00:02:00,-64
1772910875185,sta1,02:00:00:00:02:00,-39
1772910875185,sta2,02:00:00:00:02:00,-64
1772910876192,sta1,02:00:00:00:02:00,-39
1772910876192,sta2,02:00:00:00:02:00,-64
1772910877198,sta1,02:00:00:00:02:00,-39
1772910877198,sta2,02:00:00:00:02:00,-64
1772910878204,sta1,02:00:00:00:02:00,-39
1772910878204,sta2,02:00:00:00:02:00,-64
1772910879216,sta1,02:00:00:00:02:00,-39
1772910879216,sta2,02:00:00:00:02:00,-64
1772910880223,sta1,02:00:00:00:02:00,-39
1772910880223,sta2,02:00:00:00:02:00,-64
1772910881226,sta1,02:00:00:00:02:00,-39
1772910881226,sta2,02:00:00:00:02:00,-64
1772910882242,sta1,02:00:00:00:02:00,-39
1772910882242,sta2,02:00:00:00:02:00,-64
1772910883247,sta1,02:00:00:00:02:00,-39
1772910883247,sta2,02:00:00:00:02:00,-64
1772910884254,sta1,02:00:00:00:02:00,-39
1772910884254,sta2,02:00:00:00:02:00,-64
1772910885260,sta1,02:00:00:00:02:00,-39
1772910885260,sta2,02:00:00:00:02:00,-64
1772910886268,sta1,02:00:00:00:02:00,-39
1772910886268,sta2,02:00:00:00:02:00,-64
1772910887274,sta1,02:00:00:00:02:00,-39
1772910887274,sta2,02:00:00:00:02:00,-64
1772910888280,sta1,02:00:00:00:02:00,-39
1772910888280,sta2,02:00:00:00:02:00,-64
1772910889287,sta1,02:00:00:00:02:00,-39
1772910889287,sta2,02:00:00:00:02:00,-64
1772910890295,sta1,02:00:00:00:02:00,-39
1772910890295,sta2,02:00:00:00:02:00,-64
1772910891299,sta1,02:00:00:00:02:00,-39
1772910891299,sta2,02:00:00:00:02:00,-64
1772910892306,sta1,02:00:00:00:02:00,-39
1772910892306,sta2,02:00:00:00:02:00,-64
1772910893312,sta1,02:00:00:00:02:00,-39
1772910893312,sta2,02:00:00:00:02:00,-64
1772910894317,sta1,02:00:00:00:02:00,-39
1772910894317,sta2,02:00:00:00:02:00,-64
1772910895323,sta1,02:00:00:00:02:00,-39
1772910895323,sta2,02:00:00:00:02:00,-64
1772910896330,sta1,02:00:00:00:02:00,-39
1772910896330,sta2,02:00:00:00:02:00,-64
1772910897335,sta1,02:00:00:00:02:00,-39
1772910897335,sta2,02:00:00:00:02:00,-64
1772910898342,sta1,02:00:00:00:02:00,-39
1772910898342,sta2,02:00:00:00:02:00,-64
1772910899349,sta1,02:00:00:00:02:00,-39
1772910899349,sta2,02:00:00:00:02:00,-64
1772910900356,sta1,02:00:00:00:02:00,-39
1772910900356,sta2,02:00:00:00:02:00,-64
1772910901362,sta1,02:00:00:00:02:00,-39
1772910901362,sta2,02:00:00:00:02:00,-64
1772910902389,sta1,02:00:00:00:02:00,-39
1772910902389,sta2,02:00:00:00:02:00,-64
1772910903398,sta1,02:00:00:00:02:00,-39
1772910903398,sta2,02:00:00:00:02:00,-64
1772910904405,sta1,02:00:00:00:02:00,-39
1772910904405,sta2,02:00:00:00:02:00,-64
1772910905412,sta1,02:00:00:00:02:00,-39
1772910905412,sta2,02:00:00:00:02:00,-64
1772910906418,sta1,02:00:00:00:02:00,-39
1772910906418,sta2,02:00:00:00:02:00,-64
1772910907422,sta1,02:00:00:00:02:00,-39
1772910907422,sta2,02:00:00:00:02:00,-64
1772910908428,sta1,02:00:00:00:02:00,-39
1772910908428,sta2,02:00:00:00:02:00,-64
1772910909433,sta1,02:00:00:00:02:00,-39
1772910909433,sta2,02:00:00:00:02:00,-64
1772910910440,sta1,02:00:00:00:02:00,-39
1772910910440,sta2,02:00:00:00:02:00,-64
1772910911444,sta1,02:00:00:00:02:00,-39
1772910911444,sta2,02:00:00:00:02:00,-64
1772910912451,sta1,02:00:00:00:02:00,-39
1772910912451,sta2,02:00:00:00:02:00,-64
1772910913469,sta1,02:00:00:00:02:00,-39
1772910913469,sta2,02:00:00:00:02:00,-64
1772910914475,sta1,02:00:00:00:02:00,-39
1772910914475,sta2,02:00:00:00:02:00,-64
1772910915481,sta1,02:00:00:00:02:00,-39
1772910915481,sta2,02:00:00:00:02:00,-64
1772910916488,sta1,02:00:00:00:02:00,-39
1772910916488,sta2,02:00:00:00:02:00,-64
1772910917496,sta1,02:00:00:00:02:00,-39
1772910917496,sta2,02:00:00:00:02:00,-64
1772910918503,sta1,02:00:00:00:02:00,-39
1772910918503,sta2,02:00:00:00:02:00,-64
1772910919509,sta1,02:00:00:00:02:00,-39
1772910919509,sta2,02:00:00:00:02:00,-64
