ts_ms,sta,ap,rssi_dbm
1772742320286,sta1,,
1772742320286,sta2,,
1772742321286,sta1,,
1772742321286,sta2,,
1772742322286,sta1,,
1772742322286,sta2,,
1772742323287,sta1,,
1772742323287,sta2,,
1772742324287,sta1,,
1772742324287,sta2,,
1772742325288,sta1,,
1772742325288,sta2,,
1772742326288,sta1,,
1772742326288,sta2,,
1772742327289,sta1,,
1772742327289,sta2,,
1772742328289,sta1,,
1772742328289,sta2,,
1772742329289,sta1,,
1772742329289,sta2,,
1772742330290,sta1,,
1772742330290,sta2,,
1772742331290,sta1,,
1772742331290,sta2,,
1772742332290,sta1,,
1772742332290,sta2,,
1772742333291,sta1,,
1772742333291,sta2,,
1772742334291,sta1,,
1772742334291,sta2,,
1772742335291,sta1,,
1772742335291,sta2,,
1772742336292,sta1,,
1772742336292,sta2,,
1772742337292,sta1,,
1772742337292,sta2,,
1772742338293,sta1,,
1772742338293,sta2,,
1772742339293,sta1,,
1772742339293,sta2,,
1772742340293,sta1,,
1772742340293,sta2,,
1772742341294,sta1,,
1772742341294,sta2,,
1772742342294,sta1,,
1772742342294,sta2,,
1772742343294,sta1,,
1772742343294,sta2,,
1772742344295,sta1,,
1772742344295,sta2,,
1772742345295,sta1,,
1772742345295,sta2,,
1772742346295,sta1,,
1772742346295,sta2,,
1772742347295,sta1,,
1772742347295,sta2,,
1772742348296,sta1,,
1772742348296,sta2,,
1772742349296,sta1,,
1772742349296,sta2,,
1772742350296,sta1,,
1772742350296,sta2,,
1772742351296,sta1,,
1772742351296,sta2,,
1772742352297,sta1,,
1772742352297,sta2,,
1772742353297,sta1,,
1772742353297,sta2,,
1772742354297,sta1,,
1772742354297,sta2,,
1772742355297,sta1,,
1772742355297,sta2,,
1772742356298,sta1,,
1772742356298,sta2,,
1772742357298,sta1,,
1772742357298,sta2,,
1772742358298,sta1,,
1772742358298,sta2,,
1772742359298,sta1,,
1772742359298,sta2,,
1772742360299,sta1,,
1772742360299,sta2,,
1772742361299,sta1,,
1772742361299,sta2,,
1772742362300,sta1,,
1772742362300,sta2,,
1772742363300,sta1,,
1772742363300,sta2,,
1772742364300,sta1,,
1772742364300,sta2,,
1772742365301,sta1,,
1772742365301,sta2,,
1772742366301,sta1,,
1772742366301,sta2,,
1772742367301,sta1,,
1772742367301,sta2,,
1772742368302,sta1,,
1772742368302,sta2,,
1772742369302,sta1,,
1772742369302,sta2,,
1772742370302,sta1,,
1772742370302,sta2,,
1772742371303,sta1,,
1772742371303,sta2,,
1772742372303,sta1,,
1772742372303,sta2,,
1772742373303,sta1,,
1772742373303,sta2,,
1772742374303,sta1,,
1772742374303,sta2,,
1772742339109,sta1,,
1772742339109,sta2,,
1772742340109,sta1,,
1772742340109,sta2,,
1772742341109,sta1,,
1772742341109,sta2,,
1772742342110,sta1,,
1772742342110,sta2,,
1772742343110,sta1,,
1772742343110,sta2,,
1772742344110,sta1,,
1772742344110,sta2,,
1772742345111,sta1,,
1772742345111,sta2,,
1772742346111,sta1,,
1772742346111,sta2,,
1772742347111,sta1,,
1772742347111,sta2,,
1772742348111,sta1,,
1772742348111,sta2,,
1772742349112,sta1,,
1772742349112,sta2,,
1772742350112,sta1,,
1772742350112,sta2,,
1772742351112,sta1,,
1772742351112,sta2,,
1772742352113,sta1,,
1772742352113,sta2,,
1772742353113,sta1,,
1772742353113,sta2,,
1772742354113,sta1,,
1772742354113,sta2,,
1772742355114,sta1,,
1772742355114,sta2,,
1772742356114,sta1,,
1772742356114,sta2,,
1772742357114,sta1,,
1772742357114,sta2,,
1772742358115,sta1,,
1772742358115,sta2,,
1772742359115,sta1,,
1772742359115,sta2,,
1772742360115,sta1,,
1772742360115,sta2,,
1772742361116,sta1,,
1772742361116,sta2,,
1772742362116,sta1,,
1772742362116,sta2,,
1772742363116,sta1,,
1772742363116,sta2,,
1772742364117,sta1,,
1772742364117,sta2,,
1772742365117,sta1,,
1772742365117,sta2,,
1772742366117,sta1,,
1772742366117,sta2,,
1772742367117,sta1,,
1772742367117,sta2,,
