ts_ms,sta,status_code,latency_ms
1772736545745,sta2,200,15.725
1772736545747,sta1,200,17.253
1772736545812,sta2,200,16.478
1772736545814,sta1,200,16.979
1772736545873,sta2,200,10.262
1772736545875,sta1,200,11.139
1772736545942,sta2,200,18.807
1772736545942,sta1,200,16.345
1772736546007,sta2,200,14.542
1772736546008,sta1,200,15.187
1772736546076,sta2,200,18.438
1772736546076,sta1,200,18.093
1772736546140,sta1,200,13.818
1772736546140,sta2,200,14.141
1772736546208,sta2,200,17.086
1772736546210,sta1,200,19.276
1772736546275,sta2,200,17.422
1772736546276,sta1,200,15.796
1772736546342,sta1,200,15.850
1772736546344,sta2,200,17.900
1772736546410,sta1,200,17.698
1772736546410,sta2,200,16.513
1772736546478,sta1,200,17.371
1772736546478,sta2,200,17.766
1772736546539,sta2,200,10.454
1772736546539,sta1,200,11.360
1772736546603,sta1,200,13.148
1772736546606,sta2,200,16.235
1772736546671,sta1,200,17.521
1772736546671,sta2,200,15.270
1772736546739,sta2,200,18.087
1772736546740,sta1,200,18.366
1772736546807,sta1,200,16.407
1772736546807,sta2,200,16.900
1772736546871,sta2,200,14.258
1772736546872,sta1,200,14.722
1772736546939,sta1,200,16.510
1772736546939,sta2,200,17.221
1772736547006,sta1,200,17.276
1772736547006,sta2,200,17.050
1772736547073,sta2,200,16.439
1772736547075,sta1,200,18.101
1772736547142,sta1,200,16.628
1772736547142,sta2,200,18.314
1772736547209,sta1,200,16.577
1772736547210,sta2,200,17.281
1772736547276,sta2,200,16.030
1772736547276,sta1,200,16.859
1772736547343,sta2,200,16.490
1772736547343,sta1,200,16.528
1772736547408,sta2,200,14.840
1772736547409,sta1,200,15.061
1772736547475,sta2,200,16.656
1772736547476,sta1,200,16.486
1772736547541,sta1,200,15.183
1772736547542,sta2,200,16.220
1772736547610,sta1,200,18.405
1772736547610,sta2,200,18.186
1772736547676,sta1,200,15.766
1772736547676,sta2,200,15.686
1772736547745,sta2,200,18.040
1772736547745,sta1,200,18.440
1772736547811,sta2,200,15.998
1772736547812,sta1,200,16.580
1772736547877,sta2,200,15.191
1772736547877,sta1,200,15.081
1772736547944,sta1,200,16.564
1772736547944,sta2,200,17.114
1772736548011,sta2,200,16.303
1772736548011,sta1,200,16.960
1772736548078,sta1,200,16.182
1772736548078,sta2,200,16.638
1772736548144,sta1,200,15.699
1772736548144,sta2,200,15.568
1772736548209,sta1,200,14.771
1772736548210,sta2,200,15.582
1772736548275,sta1,200,15.816
1772736548276,sta2,200,15.156
1772736548341,sta2,200,15.352
1772736548343,sta1,200,16.706
1772736548406,sta1,200,13.415
1772736548408,sta2,200,16.684
1772736548474,sta1,200,17.397
1772736548474,sta2,200,15.718
1772736548542,sta2,200,17.033
1772736548542,sta1,200,17.440
1772736548608,sta1,200,16.245
1772736548610,sta2,200,17.605
1772736548677,sta2,200,17.170
1772736548677,sta1,200,18.373
1772736548746,sta1,200,18.354
1772736548746,sta2,200,18.803
1772736548814,sta2,200,17.245
1772736548815,sta1,200,18.955
1772736548881,sta2,200,16.817
1772736548882,sta1,200,16.604
1772736548949,sta1,200,16.757
1772736548949,sta2,200,18.028
1772736549014,sta1,200,14.642
1772736549015,sta2,200,14.986
1772736549082,sta1,200,16.940
1772736549083,sta2,200,17.354
1772736549152,sta2,200,18.627
1772736549154,sta1,200,21.338
1772736549219,sta1,200,15.282
1772736549220,sta2,200,17.498
1772736549286,sta1,200,16.080
1772736549286,sta2,200,16.026
1772736549352,sta1,200,15.865
1772736549353,sta2,200,17.185
1772736549421,sta2,200,17.352
1772736549421,sta1,200,19.190
1772736549487,sta1,200,15.083
1772736549488,sta2,200,16.074
1772736549555,sta1,200,17.188
1772736549555,sta2,200,16.698
1772736549622,sta2,200,17.305
1772736549623,sta1,200,17.623
1772736549690,sta1,200,16.551
1772736549690,sta2,200,16.639
1772736549757,sta2,200,16.708
1772736549757,sta1,200,16.953
1772736549824,sta2,200,16.351
1772736549825,sta1,200,17.636
1772736549890,sta2,200,15.875
1772736549892,sta1,200,16.305
1772736549957,sta1,200,14.774
1772736549957,sta2,200,16.596
1772736550023,sta1,200,15.908
1772736550024,sta2,200,16.381
1772736550089,sta1,200,15.664
1772736550090,sta2,200,15.394
1772736550157,sta1,200,17.667
1772736550158,sta2,200,17.182
1772736550226,sta2,200,17.646
1772736550226,sta1,200,18.288
1772736550296,sta2,200,19.922
1772736550297,sta1,200,19.888
1772736550365,sta1,200,17.717
1772736550365,sta2,200,18.154
1772736550433,sta2,200,17.159
1772736550433,sta1,200,17.709
1772736550498,sta2,200,15.133
1772736550499,sta1,200,15.409
1772736550565,sta1,200,15.924
1772736550565,sta2,200,16.499
1772736550632,sta1,200,16.820
1772736550633,sta2,200,17.160
1772736550697,sta2,200,14.321
1772736550697,sta1,200,14.923
1772736550769,sta1,200,21.496
1772736550770,sta2,200,22.228
1772736550843,sta1,200,23.652
1772736550844,sta2,200,24.223
1772736550919,sta1,200,25.494
1772736550920,sta2,200,24.908
1772736550994,sta2,200,24.272
1772736550996,sta1,200,25.863
1772736551069,sta2,200,24.219
1772736551069,sta1,200,23.498
1772736551144,sta1,200,24.272
1772736551145,sta2,200,24.575
1772736551220,sta2,200,24.678
1772736551220,sta1,200,25.143
1772736551295,sta2,200,24.432
1772736551295,sta1,200,24.401
1772736551370,sta1,200,24.372
1772736551371,sta2,200,25.699
1772736551446,sta2,200,25.086
1772736551447,sta1,200,25.976
