ts_ms,sta,status_code,latency_ms,ap,rssi_dbm
1772737084388,sta1,200,10.73,ap1,-36.0
1772737084388,sta2,200,11.037,ap1,-36.0
1772737084449,sta1,200,11.425,ap1,-36.0
1772737084449,sta2,200,11.102,ap1,-36.0
1772737084510,sta2,200,10.654,ap1,-36.0
1772737084511,sta1,200,11.406,ap1,-36.0
1772737084573,sta1,200,11.261,ap1,-36.0
1772737084573,sta2,200,11.986,ap1,-36.0
1772737084634,sta1,200,11.672,ap1,-36.0
1772737084635,sta2,200,11.647,ap1,-36.0
1772737084695,sta1,200,9.946,ap1,-36.0
1772737084696,sta2,200,11.292,ap1,-36.0
1772737084757,sta1,200,11.725,ap1,-36.0
1772737084757,sta2,200,10.82,ap1,-36.0
1772737084819,sta1,200,12.108,ap1,-36.0
1772737084819,sta2,200,11.938,ap1,-36.0
1772737084881,sta1,200,11.913,ap1,-36.0
1772737084881,sta2,200,12.031,ap1,-36.0
1772737084943,sta2,200,11.626,ap1,-36.0
1772737084943,sta1,200,11.737,ap1,-36.0
1772737085005,sta1,200,11.743,ap1,-36.0
1772737085006,sta2,200,11.849,ap1,-36.0
1772737085067,sta1,200,11.68,ap1,-36.0
1772737085068,sta2,200,11.819,ap1,-36.0
1772737085130,sta1,200,12.002,ap1,-36.0
1772737085130,sta2,200,12.204,ap1,-36.0
1772737085193,sta2,200,12.976,ap1,-36.0
1772737085194,sta1,200,13.79,ap1,-36.0
1772737085257,sta2,200,13.451,ap1,-36.0
1772737085257,sta1,200,13.099,ap1,-36.0
1772737085324,sta1,200,17.002,ap1,-36.0
1772737085325,sta2,200,17.695,ap1,-36.0
1772737085388,sta1,200,13.307,ap1,-36.0
1772737085388,sta2,200,12.829,ap1,-36.0
1772737085449,sta2,200,11.305,ap1,-36.0
1772737085450,sta1,200,11.765,ap1,-36.0
1772737085515,sta1,200,15.238,ap1,-36.0
1772737085515,sta2,200,15.564,ap1,-36.0
1772737085582,sta2,200,16.432,ap1,-36.0
1772737085583,sta1,200,17.054,ap1,-36.0
1772737085649,sta1,200,16.18,ap1,-36.0
1772737085650,sta2,200,17.158,ap1,-36.0
1772737085717,sta1,200,16.942,ap1,-36.0
1772737085717,sta2,200,16.627,ap1,-36.0
1772737085782,sta1,200,15.603,ap1,-36.0
1772737085783,sta2,200,15.782,ap1,-36.0
1772737085848,sta1,200,14.982,ap1,-36.0
1772737085848,sta2,200,15.487,ap1,-36.0
1772737085915,sta2,200,16.665,ap1,-36.0
1772737085916,sta1,200,17.462,ap1,-36.0
1772737085984,sta2,200,17.977,ap1,-36.0
1772737085984,sta1,200,17.99,ap1,-36.0
1772737086049,sta2,200,15.344,ap1,-36.0
1772737086051,sta1,200,17.046,ap1,-36.0
1772737086118,sta1,200,16.458,ap1,-36.0
1772737086118,sta2,200,18.871,ap1,-36.0
1772737086187,sta1,200,18.251,ap1,-36.0
1772737086187,sta2,200,18.09,ap1,-36.0
1772737086249,sta1,200,11.658,ap1,-36.0
1772737086249,sta2,200,11.629,ap1,-36.0
1772737086315,sta2,200,16.351,ap1,-36.0
1772737086316,sta1,200,16.842,ap1,-36.0
1772737086380,sta1,200,14.245,ap1,-36.0
1772737086381,sta2,200,14.863,ap1,-36.0
1772737086447,sta2,200,15.695,ap1,-36.0
1772737086447,sta1,200,16.495,ap1,-36.0
1772737086513,sta1,200,15.707,ap1,-36.0
1772737086516,sta2,200,19.503,ap1,-36.0
1772737086581,sta1,200,18.018,ap1,-36.0
1772737086583,sta2,200,16.448,ap1,-36.0
1772737086648,sta2,200,14.411,ap1,-36.0
1772737086648,sta1,200,16.857,ap1,-36.0
1772737086714,sta2,200,15.358,ap1,-36.0
1772737086714,sta1,200,15.779,ap1,-36.0
1772737086780,sta2,200,16.314,ap1,-36.0
1772737086781,sta1,200,15.687,ap1,-36.0
1772737086847,sta2,200,16.224,ap1,-36.0
1772737086848,sta1,200,16.879,ap1,-36.0
1772737086914,sta1,200,16.325,ap1,-36.0
1772737086915,sta2,200,17.55,ap1,-36.0
1772737086982,sta2,200,17.141,ap1,-36.0
1772737086982,sta1,200,17.661,ap1,-36.0
1772737087047,sta2,200,14.176,ap1,-36.0
1772737087047,sta1,200,14.223,ap1,-36.0
