ts_ms,sta,status_code,latency_ms
1772914874108,sta2,200,7.227
1772914874108,sta1,200,7.673
1772914874249,sta2,200,7.579
1772914874249,sta1,200,8.440
1772914874387,sta2,200,5.565
1772914874388,sta1,200,6.096
1772914874525,sta2,200,6.573
1772914874526,sta1,200,7.386
1772914874664,sta2,200,6.186
1772914874664,sta1,200,6.127
1772914874800,sta2,200,6.713
1772914874801,sta1,200,7.103
1772914874938,sta2,200,4.739
1772914874939,sta1,200,5.518
1772914875073,sta1,200,9.396
1772914875073,sta2,200,7.714
1772914875215,sta1,200,8.772
1772914875215,sta2,200,10.628
1772914875358,sta1,200,8.574
1772914875358,sta2,200,8.245
1772914875501,sta1,200,7.782
1772914875501,sta2,200,7.573
1772914875638,sta1,200,6.786
1772914875639,sta2,200,6.724
1772914875777,sta2,200,6.864
1772914875776,sta1,200,6.573
1772914875915,sta2,200,5.022
1772914875916,sta1,200,6.464
1772914876050,sta2,200,7.111
1772914876052,sta1,200,7.889
1772914876188,sta2,200,6.499
1772914876188,sta1,200,7.377
1772914876328,sta2,200,6.392
1772914876328,sta1,200,6.961
1772914876465,sta2,200,8.332
1772914876466,sta1,200,8.557
1772914876606,sta1,200,5.359
1772914876606,sta2,200,5.681
1772914876739,sta1,200,8.276
1772914876739,sta2,200,7.615
1772914876878,sta1,200,5.975
1772914876878,sta2,200,7.024
1772914877016,sta2,200,4.643
1772914877015,sta1,200,5.567
1772914877149,sta2,200,4.721
1772914877151,sta1,200,5.118
1772914877284,sta1,200,5.957
1772914877282,sta2,200,7.264
1772914877419,sta2,200,4.783
1772914877418,sta1,200,6.036
1772914877553,sta2,200,6.211
1772914877553,sta1,200,6.567
1772914877690,sta1,200,6.270
1772914877690,sta2,200,6.294
1772914877825,sta1,200,7.240
1772914877826,sta2,200,7.482
1772914877964,sta1,200,6.267
1772914877964,sta2,200,6.887
1772914878101,sta1,200,6.136
1772914878102,sta2,200,5.930
1772914878238,sta2,200,5.227
1772914878238,sta1,200,5.604
1772914878374,sta2,200,5.734
1772914878374,sta1,200,6.655
1772914878510,sta2,200,6.043
1772914878511,sta1,200,7.071
1772914878649,sta1,200,6.383
1772914878647,sta2,200,6.764
1772914878785,sta2,200,3.868
1772914878785,sta1,200,4.944
1772914878918,sta2,200,6.895
1772914878920,sta1,200,7.206
1772914879056,sta1,200,6.225
1772914879055,sta2,200,6.826
1772914879193,sta2,200,6.114
1772914879192,sta1,200,6.566
1772914879329,sta2,200,7.191
1772914879329,sta1,200,7.706
1772914879468,sta2,200,5.290
1772914879469,sta1,200,7.830
1772914879604,sta2,200,6.446
1772914879608,sta1,200,6.086
1772914879746,sta1,200,6.823
1772914879744,sta2,200,7.354
1772914879881,sta2,200,9.019
1772914879881,sta1,200,9.244
1772914880024,sta1,200,7.484
1772914880023,sta2,200,8.692
1772914880163,sta2,200,5.312
1772914880162,sta1,200,5.854
1772914880298,sta2,200,4.251
1772914880298,sta1,200,5.972
1772914880430,sta2,200,5.863
1772914880433,sta1,200,6.836
1772914880566,sta2,200,7.026
