ts_ms,sta,ap,rssi_dbm
1772832866892,sta1,,
1772832866892,sta2,,
1772832867895,sta1,,
1772832867895,sta2,,
1772832868898,sta1,,
1772832868898,sta2,,
1772832869898,sta1,,
1772832869898,sta2,,
1772832870899,sta1,,
1772832870899,sta2,,
1772832871899,sta1,,
1772832871899,sta2,,
1772832872899,sta1,,
1772832872899,sta2,,
1772832873900,sta1,,
1772832873900,sta2,,
1772832874900,sta1,,
1772832874900,sta2,,
1772832875900,sta1,,
1772832875900,sta2,,
1772832876900,sta1,,
1772832876900,sta2,,
1772832877901,sta1,,
1772832877901,sta2,,
1772832878901,sta1,,
1772832878901,sta2,,
1772832879901,sta1,,
1772832879901,sta2,,
1772832880902,sta1,,
1772832880902,sta2,,
1772832881902,sta1,,
1772832881902,sta2,,
1772832882903,sta1,,
1772832882903,sta2,,
1772832883903,sta1,,
1772832883903,sta2,,
1772832884904,sta1,,
1772832884904,sta2,,
1772832885905,sta1,,
1772832885905,sta2,,
1772832886905,sta1,,
1772832886905,sta2,,
1772832887905,sta1,,
1772832887905,sta2,,
1772832888906,sta1,,
1772832888906,sta2,,
1772832889906,sta1,,
1772832889906,sta2,,
1772832890907,sta1,,
1772832890907,sta2,,
1772832891908,sta1,,
1772832891908,sta2,,
1772832892908,sta1,,
1772832892908,sta2,,
1772832893908,sta1,,
1772832893908,sta2,,
1772832894909,sta1,,
1772832894909,sta2,,
1772832895909,sta1,,
1772832895909,sta2,,
1772832896910,sta1,,
1772832896910,sta2,,
1772832897910,sta1,,
1772832897910,sta2,,
1772832898910,sta1,,
1772832898910,sta2,,
1772832899911,sta1,,
1772832899911,sta2,,
1772832900911,sta1,,
1772832900911,sta2,,
1772832901912,sta1,,
1772832901912,sta2,,
1772832902912,sta1,,
1772832902912,sta2,,
1772832903913,sta1,,
1772832903913,sta2,,
1772832904913,sta1,,
1772832904913,sta2,,
1772832905913,sta1,,
1772832905913,sta2,,
1772832906914,sta1,,
1772832906914,sta2,,
1772832907914,sta1,,
1772832907914,sta2,,
1772832908915,sta1,,
1772832908915,sta2,,
1772832909915,sta1,,
1772832909915,sta2,,
1772832910915,sta1,,
1772832910915,sta2,,
1772832911916,sta1,,
1772832911916,sta2,,
1772832912916,sta1,,
1772832912916,sta2,,
1772832913917,sta1,,
1772832913917,sta2,,
1772832914917,sta1,,
1772832914917,sta2,,
1772832915918,sta1,,
1772832915918,sta2,,
1772832916918,sta1,,
1772832916918,sta2,,
1772832917918,sta1,,
1772832917918,sta2,,
1772832918918,sta1,,
1772832918918,sta2,,
1772832919919,sta1,,
1772832919919,sta2,,
1772832920919,sta1,,
1772832920919,sta2,,
1772832921919,sta1,,
1772832921919,sta2,,
1772832922920,sta1,,
1772832922920,sta2,,
1772832923920,sta1,,
1772832923920,sta2,,
1772832924920,sta1,,
1772832924920,sta2,,
1772832925920,sta1,,
1772832925920,sta2,,
1772832926920,sta1,,
1772832926920,sta2,,
1772832927921,sta1,,
1772832927921,sta2,,
1772832928921,sta1,,
1772832928921,sta2,,
1772832929922,sta1,,
1772832929922,sta2,,
1772832930922,sta1,,
1772832930922,sta2,,
1772832931922,sta1,,
1772832931922,sta2,,
1772832932923,sta1,,
1772832932923,sta2,,
1772832933923,sta1,,
1772832933923,sta2,,
1772832934924,sta1,,
1772832934924,sta2,,
1772832935924,sta1,,
1772832935924,sta2,,
1772832936925,sta1,,
1772832936925,sta2,,
1772832937925,sta1,,
1772832937925,sta2,,
1772832938925,sta1,,
1772832938925,sta2,,
1772832939926,sta1,,
1772832939926,sta2,,
1772832940926,sta1,,
1772832940926,sta2,,
1772832941926,sta1,,
1772832941926,sta2,,
1772832942927,sta1,,
1772832942927,sta2,,
1772832943927,sta1,,
1772832943927,sta2,,
1772832944927,sta1,,
1772832944927,sta2,,
1772832945927,sta1,,
1772832945927,sta2,,
1772832946928,sta1,,
1772832946928,sta2,,
1772832947928,sta1,,
1772832947928,sta2,,
1772832948928,sta1,,
1772832948928,sta2,,
1772832949928,sta1,,
1772832949928,sta2,,
1772832950929,sta1,,
1772832950929,sta2,,
1772832951929,sta1,,
1772832951929,sta2,,
1772832952930,sta1,,
1772832952930,sta2,,
1772832953930,sta1,,
1772832953930,sta2,,
1772832954930,sta1,,
1772832954930,sta2,,
1772832955931,sta1,,
1772832955931,sta2,,
1772832956931,sta1,,
1772832956931,sta2,,
1772832957931,sta1,,
1772832957931,sta2,,
1772832958931,sta1,,
1772832958931,sta2,,
1772832959931,sta1,,
1772832959931,sta2,,
1772832960932,sta1,,
1772832960932,sta2,,
1772832961932,sta1,,
1772832961932,sta2,,
1772832962932,sta1,,
1772832962932,sta2,,
1772832963933,sta1,,
1772832963933,sta2,,
1772832964933,sta1,,
1772832964933,sta2,,
1772832965933,sta1,,
1772832965933,sta2,,
1772832966933,sta1,,
1772832966933,sta2,,
1772832967933,sta1,,
1772832967933,sta2,,
1772832968934,sta1,,
1772832968934,sta2,,
1772832969934,sta1,,
1772832969934,sta2,,
1772832970934,sta1,,
1772832970934,sta2,,
1772832971934,sta1,,
1772832971934,sta2,,
1772832972934,sta1,,
1772832972934,sta2,,
1772832973935,sta1,,
1772832973935,sta2,,
1772832974935,sta1,,
1772832974935,sta2,,
1772832975935,sta1,,
1772832975935,sta2,,
1772832976936,sta1,,
1772832976936,sta2,,
1772832977936,sta1,,
1772832977936,sta2,,
1772832978936,sta1,,
1772832978936,sta2,,
1772832979936,sta1,,
1772832979936,sta2,,
1772832980936,sta1,,
1772832980936,sta2,,
1772832981937,sta1,,
1772832981937,sta2,,
1772832982937,sta1,,
1772832982937,sta2,,
1772832983937,sta1,,
1772832983937,sta2,,
1772832984938,sta1,,
1772832984938,sta2,,
1772832985938,sta1,,
1772832985938,sta2,,
1772832986938,sta1,,
1772832986938,sta2,,
1772832987939,sta1,,
1772832987939,sta2,,
1772832988939,sta1,,
1772832988939,sta2,,
1772832989939,sta1,,
1772832989939,sta2,,
1772832990939,sta1,,
1772832990939,sta2,,
1772832991939,sta1,,
1772832991939,sta2,,
1772832992940,sta1,,
1772832992940,sta2,,
1772832993940,sta1,,
1772832993940,sta2,,
1772832994940,sta1,,
1772832994940,sta2,,
1772832995940,sta1,,
1772832995940,sta2,,
1772832996941,sta1,,
1772832996941,sta2,,
1772832997941,sta1,,
1772832997941,sta2,,
1772832998941,sta1,,
1772832998941,sta2,,
1772832999942,sta1,,
1772832999942,sta2,,
1772833000942,sta1,,
1772833000942,sta2,,
1772833001942,sta1,,
1772833001942,sta2,,
1772833002942,sta1,,
1772833002942,sta2,,
1772833003942,sta1,,
1772833003942,sta2,,
1772833004943,sta1,,
1772833004943,sta2,,
1772833005943,sta1,,
1772833005943,sta2,,
1772833006943,sta1,,
1772833006943,sta2,,
1772833007943,sta1,,
1772833007943,sta2,,
1772833008943,sta1,,
1772833008943,sta2,,
1772833009944,sta1,,
1772833009944,sta2,,
1772833010944,sta1,,
1772833010944,sta2,,
1772833011944,sta1,,
1772833011944,sta2,,
1772833012944,sta1,,
1772833012944,sta2,,
1772833013944,sta1,,
1772833013944,sta2,,
1772833014945,sta1,,
1772833014945,sta2,,
1772833015945,sta1,,
1772833015945,sta2,,
1772833016945,sta1,,
1772833016945,sta2,,
1772833017945,sta1,,
1772833017945,sta2,,
1772833018945,sta1,,
1772833018945,sta2,,
1772833019945,sta1,,
1772833019945,sta2,,
1772833020946,sta1,,
1772833020946,sta2,,
1772833021946,sta1,,
1772833021946,sta2,,
1772833022946,sta1,,
1772833022946,sta2,,
1772833023946,sta1,,
1772833023946,sta2,,
1772833024946,sta1,,
1772833024946,sta2,,
1772833025947,sta1,,
1772833025947,sta2,,
1772833026947,sta1,,
1772833026947,sta2,,
1772833027947,sta1,,
1772833027947,sta2,,
1772833028947,sta1,,
1772833028947,sta2,,
1772833029947,sta1,,
1772833029947,sta2,,
1772833030948,sta1,,
1772833030948,sta2,,
1772833031948,sta1,,
1772833031948,sta2,,
1772833032948,sta1,,
1772833032948,sta2,,
1772833033948,sta1,,
1772833033948,sta2,,
1772833034948,sta1,,
1772833034948,sta2,,
1772833035948,sta1,,
1772833035948,sta2,,
1772833036949,sta1,,
1772833036949,sta2,,
1772833037949,sta1,,
1772833037949,sta2,,
1772833038949,sta1,,
1772833038949,sta2,,
1772833039949,sta1,,
1772833039949,sta2,,
1772833040949,sta1,,
1772833040949,sta2,,
1772833041950,sta1,,
1772833041950,sta2,,
1772833042950,sta1,,
1772833042950,sta2,,
1772833043950,sta1,,
1772833043950,sta2,,
1772833044950,sta1,,
1772833044950,sta2,,
1772833045950,sta1,,
1772833045950,sta2,,
1772833046951,sta1,,
1772833046951,sta2,,
