ts_ms,sta,ap,rssi_dbm
1772833527767,sta1,,
1772833527767,sta2,,
1772833528773,sta1,,
1772833528773,sta2,,
1772833529781,sta1,,
1772833529781,sta2,,
1772833530781,sta1,,
1772833530781,sta2,,
1772833531782,sta1,,
1772833531782,sta2,,
1772833532782,sta1,,
1772833532782,sta2,,
1772833533783,sta1,,
1772833533783,sta2,,
1772833534783,sta1,,
1772833534783,sta2,,
1772833535784,sta1,,
1772833535784,sta2,,
1772833536784,sta1,,
1772833536784,sta2,,
1772833537784,sta1,,
1772833537784,sta2,,
1772833538785,sta1,,
1772833538785,sta2,,
1772833539785,sta1,,
1772833539785,sta2,,
1772833540786,sta1,,
1772833540786,sta2,,
1772833541786,sta1,,
1772833541786,sta2,,
1772833542787,sta1,,
1772833542787,sta2,,
1772833543787,sta1,,
1772833543787,sta2,,
