ts_ms,sta,ap,rssi_dbm
1772839277343,sta1,,
1772839277343,sta2,,
1772839278349,sta1,,
1772839278349,sta2,,
1772839279355,sta1,,
1772839279355,sta2,,
1772839280355,sta1,,
1772839280355,sta2,,
1772839281355,sta1,,
1772839281355,sta2,,
1772839282355,sta1,,
1772839282355,sta2,,
1772839283356,sta1,,
1772839283356,sta2,,
1772839284356,sta1,,
1772839284356,sta2,,
1772839285357,sta1,,
1772839285357,sta2,,
1772839286357,sta1,,
1772839286357,sta2,,
1772839287357,sta1,,
1772839287357,sta2,,
1772839288358,sta1,,
1772839288358,sta2,,
1772839289358,sta1,,
1772839289358,sta2,,
1772839290359,sta1,,
1772839290359,sta2,,
1772839291359,sta1,,
1772839291359,sta2,,
1772839292360,sta1,,
1772839292360,sta2,,
1772839293360,sta1,,
1772839293360,sta2,,
1772839294360,sta1,,
1772839294360,sta2,,
1772839295361,sta1,,
1772839295361,sta2,,
1772839296361,sta1,,
1772839296361,sta2,,
1772839297361,sta1,,
1772839297361,sta2,,
1772839298362,sta1,,
1772839298362,sta2,,
1772839299362,sta1,,
1772839299362,sta2,,
1772839300362,sta1,,
1772839300362,sta2,,
1772839301363,sta1,,
1772839301363,sta2,,
1772839302363,sta1,,
1772839302363,sta2,,
1772839303364,sta1,,
1772839303364,sta2,,
1772839304364,sta1,,
1772839304364,sta2,,
1772839305365,sta1,,
1772839305365,sta2,,
1772839306365,sta1,,
1772839306365,sta2,,
1772839307366,sta1,,
1772839307366,sta2,,
1772839308366,sta1,,
1772839308366,sta2,,
1772839309367,sta1,,
1772839309367,sta2,,
1772839310367,sta1,,
1772839310367,sta2,,
1772839311368,sta1,,
1772839311368,sta2,,
1772839312368,sta1,,
1772839312368,sta2,,
1772839313368,sta1,,
1772839313368,sta2,,
1772839314369,sta1,,
1772839314369,sta2,,
1772839315369,sta1,,
1772839315369,sta2,,
1772839316370,sta1,,
1772839316370,sta2,,
1772839317370,sta1,,
1772839317370,sta2,,
1772839318370,sta1,,
1772839318370,sta2,,
1772839319371,sta1,,
1772839319371,sta2,,
1772839320371,sta1,,
1772839320371,sta2,,
1772839321372,sta1,,
1772839321372,sta2,,
1772839322372,sta1,,
1772839322372,sta2,,
1772839323372,sta1,,
1772839323372,sta2,,
