ts_ms,sta,ap,rssi_dbm
1772847443249,sta1,,-36.0
1772847443249,sta2,,-36.0
1772847443758,sta1,,-36.0
1772847443758,sta2,,-36.0
1772847444261,sta1,,-36.0
1772847444261,sta2,,-36.0
1772847444769,sta1,,-36.0
1772847444769,sta2,,-36.0
1772847445277,sta1,,-36.0
1772847445277,sta2,,-36.0
1772847445784,sta1,,-36.0
1772847445784,sta2,,-36.0
1772847446290,sta1,,-36.0
1772847446290,sta2,,-36.0
1772847446798,sta1,,-36.0
1772847446798,sta2,,-36.0
1772847447305,sta1,,
1772847447305,sta2,,-36.0
1772847447813,sta1,,
1772847447813,sta2,,-36.0
1772847448322,sta1,,
1772847448322,sta2,,-36.0
1772847448830,sta1,,
1772847448830,sta2,,-36.0
1772847449336,sta1,,
1772847449336,sta2,,-36.0
1772847449843,sta1,,
1772847449843,sta2,,-36.0
1772847450351,sta1,,
1772847450351,sta2,,-36.0
1772847450857,sta1,,
1772847450857,sta2,,-36.0
1772847451364,sta1,,
1772847451364,sta2,,-36.0
1772847451872,sta1,,
1772847451872,sta2,,-36.0
1772847452379,sta1,,-36.0
1772847452379,sta2,,
1772847452886,sta1,,-36.0
1772847452886,sta2,,
1772847453391,sta1,,-36.0
1772847453391,sta2,,
1772847453900,sta1,,-36.0
1772847453900,sta2,,
1772847454407,sta1,,-36.0
1772847454407,sta2,,
1772847454915,sta1,,-36.0
1772847454915,sta2,,
1772847455423,sta1,,-36.0
1772847455423,sta2,,
1772847455931,sta1,,-36.0
1772847455931,sta2,,
1772847456438,sta1,,-36.0
1772847456438,sta2,,
1772847456945,sta1,,-36.0
1772847456945,sta2,,
1772847457452,sta1,,-36.0
1772847457452,sta2,,-36.0
1772847463735,sta1,,-36.0
1772847463735,sta2,,-36.0
1772847469880,sta1,,-36.0
1772847469880,sta2,,-36.0
1772847472951,sta1,,-36.0
1772847472951,sta2,,-36.0
1772847479032,sta1,,-36.0
1772847479032,sta2,,-36.0
1772847485180,sta1,,-36.0
1772847485180,sta2,,-36.0
1772847491382,sta1,,-36.0
1772847491382,sta2,,-36.0
1772847494455,sta1,,-36.0
1772847494455,sta2,,-36.0
1772847497527,sta1,,-36.0
1772847497527,sta2,,-36.0
1772847500599,sta1,,-36.0
1772847500599,sta2,,-36.0
1772847509756,sta1,,-36.0
1772847509756,sta2,,-36.0
1772847515898,sta1,,-36.0
1772847515898,sta2,,-36.0
1772847522045,sta1,,-36.0
1772847522045,sta2,,-36.0
1772847528187,sta1,,-36.0
1772847528187,sta2,,-36.0
1772847534332,sta1,,-36.0
1772847534332,sta2,,-36.0
1772847540535,sta1,,-36.0
1772847540535,sta2,,-36.0
1772847543606,sta1,,-36.0
1772847543606,sta2,,-36.0
1772847552765,sta1,,-36.0
1772847552765,sta2,,-36.0
1772847555895,sta1,,-36.0
1772847555895,sta2,,-36.0
1772847561978,sta1,,-36.0
1772847561978,sta2,,-36.0
1772847565111,sta1,,-36.0
1772847565111,sta2,,-36.0
1772847571196,sta1,,-36.0
1772847571196,sta2,,-36.0
1772847577341,sta1,,-36.0
1772847577341,sta2,,-36.0
1772847583543,sta1,,-36.0
1772847583543,sta2,,-36.0
1772847586616,sta1,,-36.0
1772847586616,sta2,,-36.0
1772847589687,sta1,,-36.0
1772847589687,sta2,,-36.0
1772847598843,sta1,,-36.0
1772847598843,sta2,,-36.0
1772847601976,sta1,,-36.0
1772847601976,sta2,,-36.0
1772847608120,sta1,,-36.0
1772847608120,sta2,,-36.0
1772847611191,sta1,,-36.0
1772847611191,sta2,,-36.0
1772847617335,sta1,,-36.0
1772847617335,sta2,,-36.0
1772847620408,sta1,,-36.0
1772847620408,sta2,,-36.0
1772847626494,sta1,,-36.0
1772847626494,sta2,,-36.0
1772847629622,sta1,,-36.0
1772847629622,sta2,,-36.0
1772847632695,sta1,,-36.0
1772847632695,sta2,,-36.0
1772847638837,sta1,,-36.0
1772847638837,sta2,,-36.0
1772847641911,sta1,,-36.0
1772847641911,sta2,,-36.0
1772847644983,sta1,,-36.0
1772847644983,sta2,,-36.0
1772847651066,sta1,,-36.0
1772847651066,sta2,,-36.0
1772847666486,sta1,,-36.0
1772847666486,sta2,,-36.0
1772847669559,sta1,,-36.0
1772847669559,sta2,,-36.0
1772847672631,sta1,,-36.0
1772847672631,sta2,,-36.0
1772847678714,sta1,,-36.0
1772847678714,sta2,,-36.0
1772847684854,sta1,,-36.0
1772847684854,sta2,,-36.0
1772847687991,sta1,,-36.0
1772847687991,sta2,,-36.0
1772847691063,sta1,,-36.0
1772847691063,sta2,,-36.0
1772847697148,sta1,,-36.0
1772847697148,sta2,,-36.0
1772847700279,sta1,,-36.0
1772847700279,sta2,,-36.0
1772847706359,sta1,,-36.0
1772847706359,sta2,,-36.0
1772847715639,sta1,,-36.0
1772847715639,sta2,,-36.0
1772847718713,sta1,,-36.0
1772847718713,sta2,,-36.0
1772847724855,sta1,,-36.0
1772847724855,sta2,,-36.0
1772847727927,sta1,,-36.0
1772847727927,sta2,,-36.0
1772847734010,sta1,,-36.0
1772847734010,sta2,,-36.0
1772847737143,sta1,,-36.0
1772847737143,sta2,,-36.0
1772847743286,sta1,,-36.0
1772847743286,sta2,,-36.0
1772847752437,sta1,,-36.0
1772847752437,sta2,,-36.0
1772847764732,sta1,,-36.0
1772847764732,sta2,,-36.0
1772847767863,sta1,,-36.0
1772847767863,sta2,,-36.0
1772847777079,sta1,,-36.0
1772847777079,sta2,,-36.0
1772847786231,sta1,,-36.0
1772847786231,sta2,,-36.0
1772847789366,sta1,,-36.0
1772847789366,sta2,,-36.0
1772847798583,sta1,,-36.0
1772847798583,sta2,,-36.0
1772847807798,sta1,,-36.0
1772847807798,sta2,,-36.0
1772847817015,sta1,,-36.0
1772847817015,sta2,,-36.0
1772847820086,sta1,,-36.0
1772847820086,sta2,,-36.0
1772847826173,sta1,,-36.0
1772847826173,sta2,,-36.0
1772847832313,sta1,,-36.0
1772847832313,sta2,,-36.0
1772847841588,sta1,,-36.0
1772847841588,sta2,,-36.0
1772847847680,sta1,,-36.0
1772847847680,sta2,,-36.0
1772847850808,sta1,,-36.0
1772847850808,sta2,,-36.0
1772847856895,sta1,,-36.0
1772847856895,sta2,,-36.0
1772847866102,sta1,,-36.0
1772847866102,sta2,,-36.0
1772847872253,sta1,,-36.0
1772847872253,sta2,,-36.0
1772847881527,sta1,,-36.0
1772847881527,sta2,,-36.0
1772847890680,sta1,,-36.0
1772847890680,sta2,,-36.0
1772847899959,sta1,,-36.0
1772847899959,sta2,,-36.0
1772847909116,sta1,,-36.0
1772847909116,sta2,,-36.0
1772847915319,sta1,,-36.0
1772847915319,sta2,,-36.0
1772847921405,sta1,,-36.0
1772847921405,sta2,,-36.0
1772847924535,sta1,,-36.0
1772847924535,sta2,,-36.0
1772847930621,sta1,,-36.0
1772847930621,sta2,,-36.0
1772847936764,sta1,,-36.0
1772847936764,sta2,,-36.0
1772847945978,sta1,,-36.0
1772847945978,sta2,,-36.0
1772847952183,sta1,,-36.0
1772847952183,sta2,,-36.0
