ts_ms,sta,status_code,latency_ms
1772845768727,sta2,0,3002.192
1772845768726,sta1,0,3002.026
1772845771740,sta1,0,63.619
1772845771739,sta2,0,65.388
1772845771817,sta1,0,3002.742
1772845771818,sta2,0,3002.418
1772845774831,sta2,0,46.141
1772845774831,sta1,0,47.129
1772845774888,sta1,0,3002.196
1772845774888,sta2,0,3002.497
1772845777901,sta2,0,49.665
1772845777899,sta1,0,50.146
1772845777961,sta2,0,3002.486
1772845777961,sta1,0,3002.376
1772845780977,sta2,0,43.029
1772845780977,sta1,0,40.917
1772845781033,sta1,0,3002.712
1772845781033,sta2,0,3001.964
1772845784049,sta1,0,42.079
1772845784050,sta2,0,42.668
1772845784106,sta1,0,3002.512
1772845784106,sta2,0,3002.187
1772845787121,sta1,0,42.914
1772845787121,sta2,0,44.753
1772845787177,sta2,0,3002.255
1772845787176,sta1,0,3002.877
1772845790187,sta2,0,51.220
1772845790189,sta1,0,48.820
1772845790250,sta1,0,3001.630
1772845790249,sta2,0,3002.592
1772845793261,sta1,0,46.569
1772845793262,sta2,0,43.607
1772845793321,sta1,0,3002.976
1772845793322,sta2,0,3002.592
1772845796337,sta2,0,45.309
1772845796337,sta1,0,43.155
1772845796394,sta1,0,3002.789
1772845796393,sta2,0,3002.482
1772845799410,sta2,0,43.176
1772845799409,sta1,0,44.230
1772845799467,sta1,0,3002.656
1772845799466,sta2,0,3001.649
1772845802481,sta1,0,45.848
1772845802482,sta2,0,44.823
1772845802536,sta2,0,3002.683
1772845802536,sta1,0,3002.763
1772845805548,sta1,0,50.841
1772845805546,sta2,0,48.025
1772845805609,sta2,0,3002.958
1772845805609,sta1,0,3002.958
1772845808626,sta1,0,44.484
1772845808626,sta2,0,44.626
1772845808681,sta2,0,3002.977
1772845808681,sta1,0,3002.831
1772845811698,sta1,0,42.685
1772845811697,sta2,0,45.289
1772845811753,sta1,0,3002.391
1772845811753,sta2,0,3002.954
1772845814765,sta1,0,49.996
1772845814766,sta2,0,49.996
1772845814826,sta2,0,3002.511
1772845814825,sta1,0,3002.556
1772845817837,sta2,0,47.875
1772845817837,sta1,0,49.845
1772845817897,sta2,0,3002.639
1772845817897,sta1,0,3002.719
1772845820910,sta1,0,47.246
1772845820909,sta2,0,49.329
1772845820970,sta1,0,3002.752
1772845820970,sta2,0,3002.308
1772845823986,sta2,0,47.135
1772845823985,sta1,0,49.413
1772845824041,sta2,0,3002.859
1772845824042,sta1,0,3002.418
1772845827058,sta1,0,45.487
1772845827056,sta2,0,44.720
1772845827113,sta2,0,3002.565
1772845827113,sta1,0,3002.486
1772845830127,sta1,0,48.563
1772845830125,sta2,0,49.374
1772845830186,sta1,0,3002.775
1772845830188,sta2,0,3002.578
1772845833204,sta2,0,39.936
1772845833203,sta1,0,42.342
1772845833257,sta2,0,3002.725
1772845833257,sta1,0,3001.813
1772845836270,sta2,0,49.502
1772845836271,sta1,0,49.502
1772845836331,sta2,0,3001.748
1772845836331,sta1,0,3002.637
1772845839341,sta2,0,54.413
1772845839341,sta1,0,53.236
1772845839401,sta2,0,3002.646
1772845839401,sta1,0,3002.082
1772845842413,sta1,0,46.562
1772845842413,sta2,0,49.745
1772845842473,sta1,0,3002.678
1772845842474,sta2,0,3002.254
1772845845489,sta2,0,46.317
1772845845487,sta1,0,44.835
1772845845547,sta1,0,3002.908
1772845845546,sta2,0,3002.673
1772845848565,sta1,0,42.467
1772845848566,sta2,0,42.471
1772845848617,sta2,0,3002.658
1772845848617,sta1,0,3002.303
1772845851631,sta2,0,46.305
1772845851633,sta1,0,47.284
1772845851689,sta1,0,3002.731
1772845851689,sta2,0,3002.628
1772845854704,sta2,0,46.762
1772845854704,sta1,0,45.725
1772845854761,sta1,0,3002.275
1772845854760,sta2,0,3002.645
1772845857775,sta1,0,47.024
1772845857777,sta2,0,46.608
1772845857833,sta1,0,3002.619
1772845857833,sta2,0,3002.510
1772845860844,sta2,0,49.151
1772845860843,sta1,0,52.631
1772845860907,sta1,0,3002.765
