ts_ms,sta,ap,rssi_dbm
1772845754908,sta1,,-36.0
1772845754908,sta2,,-36.0
1772845755416,sta1,,-36.0
1772845755416,sta2,,-36.0
1772845755923,sta1,,-36.0
1772845755923,sta2,,-36.0
1772845756431,sta1,,-36.0
1772845756431,sta2,,-36.0
1772845756938,sta1,,-36.0
1772845756938,sta2,,-36.0
1772845757447,sta1,,-36.0
1772845757447,sta2,,-36.0
1772845757954,sta1,,-36.0
1772845757954,sta2,,-36.0
1772845758461,sta1,,-36.0
1772845758461,sta2,,-36.0
1772845758969,sta1,,
1772845758969,sta2,,-36.0
1772845759476,sta1,,
1772845759476,sta2,,-36.0
1772845759981,sta1,,
1772845759981,sta2,,-36.0
1772845760486,sta1,,
1772845760486,sta2,,-36.0
1772845760994,sta1,,
1772845760994,sta2,,-36.0
1772845761502,sta1,,
1772845761502,sta2,,-36.0
1772845762011,sta1,,
1772845762011,sta2,,-36.0
1772845762517,sta1,,
1772845762517,sta2,,-36.0
1772845763023,sta1,,
1772845763023,sta2,,-36.0
1772845763532,sta1,,
1772845763532,sta2,,-36.0
1772845764040,sta1,,-36.0
1772845764040,sta2,,
1772845764549,sta1,,-36.0
1772845764549,sta2,,
1772845765058,sta1,,-36.0
1772845765058,sta2,,
1772845765566,sta1,,-36.0
1772845765566,sta2,,
1772845766076,sta1,,-36.0
1772845766076,sta2,,
1772845766586,sta1,,-36.0
1772845766586,sta2,,
1772845767095,sta1,,-36.0
1772845767095,sta2,,
1772845767603,sta1,,-36.0
1772845767603,sta2,,
1772845768112,sta1,,-36.0
1772845768112,sta2,,
1772845768620,sta1,,-36.0
1772845768620,sta2,,
1772845769125,sta1,,-36.0
1772845769125,sta2,,-36.0
1772845775391,sta1,,-36.0
1772845775391,sta2,,-36.0
1772845781537,sta1,,-36.0
1772845781537,sta2,,-36.0
1772845784610,sta1,,-36.0
1772845784610,sta2,,-36.0
1772845793766,sta1,,-36.0
1772845793766,sta2,,-36.0
1772845796896,sta1,,-36.0
1772845796896,sta2,,-36.0
1772845799970,sta1,,-36.0
1772845799970,sta2,,-36.0
1772845806050,sta1,,-36.0
1772845806050,sta2,,-36.0
1772845809184,sta1,,-36.0
1772845809184,sta2,,-36.0
1772845818341,sta1,,-36.0
1772845818341,sta2,,-36.0
1772845821474,sta1,,-36.0
1772845821474,sta2,,-36.0
1772845827561,sta1,,-36.0
1772845827561,sta2,,-36.0
1772845833708,sta1,,-36.0
1772845833708,sta2,,-36.0
1772845842977,sta1,,-36.0
1772845842977,sta2,,-36.0
1772845846051,sta1,,-36.0
1772845846051,sta2,,-36.0
1772845852135,sta1,,-36.0
1772845852135,sta2,,-36.0
1772845855264,sta1,,-36.0
1772845855264,sta2,,-36.0
1772845861348,sta1,,-36.0
1772845861348,sta2,,-36.0
1772845873636,sta1,,-36.0
1772845873636,sta2,,-36.0
1772845876766,sta1,,-36.0
1772845876766,sta2,,-36.0
1772845882858,sta1,,-36.0
1772845882858,sta2,,-36.0
1772845896119,sta1,,-36.0
1772845896119,sta2,,-36.0
1772845899191,sta1,,-36.0
1772845899191,sta2,,-36.0
1772845902264,sta1,,-36.0
1772845902264,sta2,,-36.0
1772845908345,sta1,,-36.0
1772845908345,sta2,,-36.0
1772845914487,sta1,,-36.0
1772845914487,sta2,,-36.0
1772845917623,sta1,,-36.0
1772845917623,sta2,,-36.0
1772845920695,sta1,,-36.0
1772845920695,sta2,,-36.0
1772845923767,sta1,,-36.0
1772845923767,sta2,,-36.0
1772845929854,sta1,,-36.0
1772845929854,sta2,,-36.0
1772845939064,sta1,,-36.0
1772845939064,sta2,,-36.0
1772845942199,sta1,,-36.0
1772845942199,sta2,,-36.0
1772845945271,sta1,,-36.0
1772845945271,sta2,,-36.0
1772845954429,sta1,,-36.0
1772845954429,sta2,,-36.0
1772845957560,sta1,,-36.0
1772845957560,sta2,,-36.0
1772845963702,sta1,,-36.0
1772845963702,sta2,,-36.0
1772845969789,sta1,,-36.0
1772845969789,sta2,,-36.0
1772845972919,sta1,,-36.0
1772845972919,sta2,,-36.0
1772845979005,sta1,,-36.0
1772845979005,sta2,,-36.0
1772845985151,sta1,,-36.0
1772845985151,sta2,,-36.0
1772845991294,sta1,,-36.0
1772845991294,sta2,,-36.0
1772845997495,sta1,,-36.0
1772845997495,sta2,,-36.0
1772846000566,sta1,,-36.0
1772846000566,sta2,,-36.0
1772846003639,sta1,,-36.0
1772846003639,sta2,,-36.0
1772846009783,sta1,,-36.0
1772846009783,sta2,,-36.0
1772846015926,sta1,,-36.0
1772846015926,sta2,,-36.0
1772846018999,sta1,,-36.0
1772846018999,sta2,,-36.0
1772846025082,sta1,,-36.0
1772846025082,sta2,,-36.0
1772846028216,sta1,,-36.0
1772846028216,sta2,,-36.0
1772846031287,sta1,,-36.0
1772846031287,sta2,,-36.0
1772846037373,sta1,,-36.0
1772846037373,sta2,,-36.0
1772846040503,sta1,,-36.0
1772846040503,sta2,,-36.0
1772846046588,sta1,,-36.0
1772846046588,sta2,,-36.0
1772846049719,sta1,,-36.0
1772846049719,sta2,,-36.0
1772846052791,sta1,,-36.0
1772846052791,sta2,,-36.0
1772846065017,sta1,,-36.0
1772846065017,sta2,,-36.0
1772846074294,sta1,,-36.0
1772846074294,sta2,,-36.0
1772846077365,sta1,,-36.0
1772846077365,sta2,,-36.0
1772846083453,sta1,,-36.0
1772846083453,sta2,,-36.0
1772846101944,sta1,,-36.0
1772846101944,sta2,,-36.0
1772846111096,sta1,,-36.0
1772846111096,sta2,,-36.0
1772846114231,sta1,,-36.0
1772846114231,sta2,,-36.0
1772846117302,sta1,,-36.0
1772846117302,sta2,,-36.0
1772846123385,sta1,,-36.0
1772846123385,sta2,,-36.0
1772846126519,sta1,,-36.0
1772846126519,sta2,,-36.0
1772846132604,sta1,,-36.0
1772846132604,sta2,,-36.0
1772846135735,sta1,,-36.0
1772846135735,sta2,,-36.0
1772846144894,sta1,,-36.0
1772846144894,sta2,,-36.0
1772846148023,sta1,,-36.0
1772846148023,sta2,,-36.0
1772846151095,sta1,,-36.0
1772846151095,sta2,,-36.0
1772846154167,sta1,,-36.0
1772846154167,sta2,,-36.0
1772846160311,sta1,,-36.0
1772846160311,sta2,,-36.0
1772846166399,sta1,,-36.0
1772846166399,sta2,,-36.0
1772846169524,sta1,,-36.0
1772846169524,sta2,,-36.0
1772846175606,sta1,,-36.0
1772846175606,sta2,,-36.0
1772846181756,sta1,,-36.0
1772846181756,sta2,,-36.0
1772846184887,sta1,,-36.0
1772846184887,sta2,,-36.0
1772846187960,sta1,,-36.0
1772846187960,sta2,,-36.0
1772846194048,sta1,,-36.0
1772846194048,sta2,,-36.0
1772846200191,sta1,,-36.0
1772846200191,sta2,,-36.0
1772846209463,sta1,,-36.0
1772846209463,sta2,,-36.0
1772846215549,sta1,,-36.0
1772846215549,sta2,,-36.0
1772846221694,sta1,,-36.0
1772846221694,sta2,,-36.0
1772846230967,sta1,,-36.0
1772846230967,sta2,,-36.0
1772846237051,sta1,,-36.0
1772846237051,sta2,,-36.0
1772846243254,sta1,,-36.0
1772846243254,sta2,,-36.0
1772846249339,sta1,,-36.0
1772846249339,sta2,,-36.0
1772846255478,sta1,,-36.0
1772846255478,sta2,,-36.0
1772846258615,sta1,,-36.0
1772846258615,sta2,,-36.0
1772846261687,sta1,,-36.0
1772846261687,sta2,,-36.0
1772846264759,sta1,,-36.0
1772846264759,sta2,,-36.0
1772846267831,sta1,,-36.0
1772846267831,sta2,,-36.0
1772846270903,sta1,,-36.0
1772846270903,sta2,,-36.0
1772846276990,sta1,,-36.0
1772846276990,sta2,,-36.0
1772846283130,sta1,,-36.0
1772846283130,sta2,,-36.0
1772846286259,sta1,,-36.0
1772846286259,sta2,,-36.0
1772846295416,sta1,,-36.0
1772846295416,sta2,,-36.0
1772846298550,sta1,,-36.0
1772846298550,sta2,,-36.0
1772846307766,sta1,,-36.0
1772846307766,sta2,,-36.0
1772846316983,sta1,,-36.0
1772846316983,sta2,,-36.0
1772846323065,sta1,,-36.0
1772846323065,sta2,,-36.0
1772846326199,sta1,,-36.0
1772846326199,sta2,,-36.0
1772846335357,sta1,,-36.0
1772846335357,sta2,,-36.0
1772846341501,sta1,,-36.0
1772846341501,sta2,,-36.0
1772846347640,sta1,,-36.0
1772846347640,sta2,,-36.0
1772846353848,sta1,,-36.0
1772846353848,sta2,,-36.0
1772846359931,sta1,,-36.0
1772846359931,sta2,,-36.0
1772846369207,sta1,,-36.0
1772846369207,sta2,,-36.0
1772846375350,sta1,,-36.0
1772846375350,sta2,,-36.0
1772846381495,sta1,,-36.0
1772846381495,sta2,,-36.0
1772846384568,sta1,,-36.0
1772846384568,sta2,,-36.0
1772846390649,sta1,,-36.0
1772846390649,sta2,,-36.0
1772846393783,sta1,,-36.0
1772846393783,sta2,,-36.0
1772846396797,sta1,,-36.0
1772846396797,sta2,,-36.0
1772846406071,sta1,,-36.0
1772846406071,sta2,,-36.0
1772846409143,sta1,,-36.0
1772846409143,sta2,,-36.0
1772846415287,sta1,,-36.0
1772846415287,sta2,,-36.0
1772846418361,sta1,,-36.0
1772846418361,sta2,,-36.0
1772846421431,sta1,,-36.0
1772846421431,sta2,,-36.0
1772846430588,sta1,,-36.0
1772846430588,sta2,,-36.0
1772846439806,sta1,,-36.0
1772846439806,sta2,,-36.0
1772846449078,sta1,,-36.0
1772846449078,sta2,,-36.0
1772846452151,sta1,,-36.0
1772846452151,sta2,,-36.0
1772846458236,sta1,,-36.0
1772846458236,sta2,,-36.0
1772846461367,sta1,,-36.0
1772846461367,sta2,,-36.0
1772846467508,sta1,,-36.0
1772846467508,sta2,,-36.0
1772846479741,sta1,,-36.0
1772846479741,sta2,,-36.0
1772846489016,sta1,,-36.0
1772846489016,sta2,,-36.0
1772846495094,sta1,,-36.0
1772846495094,sta2,,-36.0
1772846501303,sta1,,-36.0
1772846501303,sta2,,-36.0
1772846504374,sta1,,-36.0
1772846504374,sta2,,-36.0
