ts_ms,sta,ap,rssi_dbm
1772650150389,sta1,ap1,-36
1772650150406,sta2,ap1,-36
1772650151410,sta1,ap1,-36
1772650151414,sta2,ap1,-36
1772650152419,sta1,ap1,-36
1772650152422,sta2,ap1,-36
1772650153425,sta1,ap1,-36
1772650153428,sta2,ap1,-36
1772650154433,sta1,ap1,-36
1772650154436,sta2,ap1,-36
1772650155445,sta1,ap1,-36
1772650155448,sta2,ap1,-36
1772650156452,sta1,ap1,-36
1772650156455,sta2,ap1,-36
1772650157460,sta1,ap1,-36
1772650157463,sta2,ap1,-36
1772650158468,sta1,ap1,-36
1772650158471,sta2,ap1,-36
1772650159476,sta1,ap1,-36
1772650159501,sta2,ap1,-36
1772650160506,sta1,ap1,-36
1772650160509,sta2,ap1,-36
1772650161513,sta1,ap1,-36
1772650161516,sta2,ap1,-36
1772650162521,sta1,ap1,-36
1772650162523,sta2,ap1,-36
1772650163528,sta1,ap1,-36
1772650164494,sta2,ap1,-36
1772650165498,sta1,ap1,-36
1772650165502,sta2,ap1,-36
1772650166507,sta1,ap1,-36
1772650166510,sta2,ap1,-36
1772650167517,sta1,ap1,-36
1772650167520,sta2,ap1,-36
1772650168526,sta1,ap1,-36
1772650168529,sta2,ap1,-36
1772650169534,sta1,ap1,-36
1772650169537,sta2,ap1,-36
1772650170542,sta1,ap1,-36
1772650170545,sta2,ap1,-36
1772650171551,sta1,ap1,-36
1772650171554,sta2,ap1,-36
1772650172559,sta1,ap1,-36
1772650172562,sta2,ap1,-36
1772650173568,sta1,ap1,-36
1772650173571,sta2,ap1,-36
1772650174577,sta1,ap1,-36
1772650174580,sta2,ap1,-36
1772650175586,sta1,ap1,-36
1772650175590,sta2,ap1,-36
1772650176595,sta1,ap1,-36
1772650176598,sta2,ap1,-36
