ts_ms,sta,status_code,latency_ms,ap,rssi_dbm
1772651165684,sta2,200,18.246,ap1,-36
1772651165685,sta1,200,19.764,ap1,-36
1772651165753,sta1,200,17.154,ap1,-36
1772651165753,sta2,200,18.133,ap1,-36
1772651165821,sta2,200,17.22,ap1,-36
1772651165822,sta1,200,17.887,ap1,-36
1772651165888,sta2,200,16.96,ap1,-36
1772651165889,sta1,200,17.241,ap1,-36
1772651165958,sta1,200,18.783,ap1,-36
1772651165958,sta2,200,19.288,ap1,-36
1772651166029,sta1,200,19.786,ap1,-36
1772651166029,sta2,200,20.157,ap1,-36
1772651166098,sta1,200,19.055,ap1,-36
1772651166099,sta2,200,19.524,ap1,-36
1772651166166,sta2,200,17.105,ap1,-36
1772651166167,sta1,200,17.794,ap1,-36
1772651166235,sta2,200,17.618,ap1,-36
1772651166235,sta1,200,17.709,ap1,-36
1772651166306,sta1,200,20.29,ap1,-36
1772651166306,sta2,200,21.211,ap1,-36
1772651166374,sta1,200,17.899,ap1,-36
1772651166376,sta2,200,19.127,ap1,-36
1772651166445,sta1,200,19.81,ap1,-36
1772651166445,sta2,200,18.792,ap1,-36
1772651166515,sta1,200,19.72,ap1,-36
1772651166515,sta2,200,19.979,ap1,-36
1772651166582,sta1,200,16.703,ap1,-36
1772651166583,sta2,200,17.577,ap1,-36
1772651166651,sta1,200,18.676,ap1,-36
1772651166651,sta2,200,17.781,ap1,-36
1772651166720,sta1,200,18.64,ap1,-36
1772651166720,sta2,200,18.739,ap1,-36
1772651166788,sta2,200,16.766,ap1,-36
1772651166788,sta1,200,17.376,ap1,-36
1772651166855,sta1,200,16.324,ap1,-36
1772651166855,sta2,200,16.768,ap1,-36
1772651166922,sta1,200,16.988,ap1,-36
1772651166924,sta2,200,18.376,ap1,-36
1772651166993,sta2,200,19.273,ap1,-36
1772651166993,sta1,200,20.863,ap1,-36
1772651167062,sta2,200,18.586,ap1,-36
1772651167063,sta1,200,18.694,ap1,-36
1772651167129,sta1,200,16.581,ap1,-36
1772651167130,sta2,200,17.173,ap1,-36
1772651167200,sta1,200,20.069,ap1,-36
1772651167200,sta2,200,19.611,ap1,-36
1772651167268,sta1,200,17.672,ap1,-36
1772651167270,sta2,200,18.87,ap1,-36
1772651167339,sta1,200,19.567,ap1,-36
1772651167339,sta2,200,18.437,ap1,-36
1772651167407,sta1,200,18.301,ap1,-36
1772651167408,sta2,200,18.55,ap1,-36
1772651167478,sta2,200,19.462,ap1,-36
1772651167478,sta1,200,20.074,ap1,-36
1772651167545,sta1,200,16.576,ap1,-36
1772651167546,sta2,200,17.375,ap1,-36
1772651167617,sta1,200,21.308,ap1,-36
1772651167617,sta2,200,20.878,ap1,-36
1772651167686,sta1,200,18.28,ap1,-36
1772651167687,sta2,200,19.075,ap1,-36
1772651167754,sta1,200,17.324,ap1,-36
1772651167754,sta2,200,16.88,ap1,-36
1772651167822,sta1,200,17.624,ap1,-36
1772651167823,sta2,200,18.119,ap1,-36
1772651167889,sta1,200,17.033,ap1,-36
1772651167891,sta2,200,17.761,ap1,-36
1772651167958,sta1,200,18.641,ap1,-36
1772651167958,sta2,200,17.574,ap1,-36
1772651168027,sta2,200,17.527,ap1,-36
1772651168027,sta1,200,18.406,ap1,-36
1772651168098,sta2,200,21.06,ap1,-36
1772651168099,sta1,200,21.195,ap1,-36
1772651168168,sta1,200,18.488,ap1,-36
1772651168168,sta2,200,19.686,ap1,-36
1772651168235,sta1,200,17.191,ap1,-36
1772651168236,sta2,200,17.943,ap1,-36
1772651168305,sta1,200,19.392,ap1,-36
1772651168305,sta2,200,18.713,ap1,-36
1772651168373,sta2,200,17.363,ap1,-36
1772651168373,sta1,200,17.764,ap1,-36
1772651168443,sta1,200,18.978,ap1,-36
1772651168443,sta2,200,19.556,ap1,-36
1772651168512,sta1,200,18.95,ap1,-36
1772651168513,sta2,200,19.238,ap1,-36
1772651168581,sta2,200,17.46,ap1,-36
1772651168581,sta1,200,18.247,ap1,-36
1772651168648,sta1,200,16.717,ap1,-36
1772651168649,sta2,200,17.502,ap1,-36
1772651168717,sta1,200,18.525,ap1,-36
1772651168717,sta2,200,18.545,ap1,-36
1772651168785,sta2,200,17.112,ap1,-36
1772651168786,sta1,200,18.223,ap1,-36
1772651168855,sta1,200,18.344,ap1,-36
1772651168855,sta2,200,19.318,ap1,-36
1772651168923,sta2,200,17.71,ap1,-36
1772651168924,sta1,200,18.71,ap1,-36
1772651168993,sta1,200,18.78,ap1,-36
1772651168993,sta2,200,19.683,ap1,-36
1772651169060,sta1,200,16.958,ap1,-36
1772651169061,sta2,200,17.626,ap1,-36
1772651169129,sta1,200,18.16,ap1,-36
1772651169129,sta2,200,17.55,ap1,-36
1772651169197,sta1,200,17.638,ap1,-36
1772651169198,sta2,200,18.337,ap1,-36
1772651169266,sta2,200,16.817,ap1,-36
1772651169266,sta1,200,17.832,ap1,-36
1772651169337,sta2,200,21.264,ap1,-36
1772651169338,sta1,200,21.326,ap1,-36
1772651169405,sta1,200,17.146,ap1,-36
1772651169406,sta2,200,17.634,ap1,-36
1772651169476,sta1,200,19.822,ap1,-36
1772651169477,sta2,200,20.668,ap1,-36
1772651169546,sta2,200,18.564,ap1,-36
1772651169547,sta1,200,20.172,ap1,-36
1772651169615,sta1,200,18.188,ap1,-36
1772651169616,sta2,200,19.816,ap1,-36
1772651169684,sta1,200,18.229,ap1,-36
1772651169687,sta2,200,17.82,ap1,-36
1772651169751,sta1,200,16.847,ap1,-36
1772651169754,sta2,200,16.593,ap1,-36
1772651169821,sta1,200,18.829,ap1,-36
1772651169822,sta2,200,17.36,ap1,-36
1772651169891,sta1,200,20.301,ap1,-36
1772651169892,sta2,200,19.416,ap1,-36
1772651169959,sta2,200,17.097,ap1,-36
1772651169960,sta1,200,18.073,ap1,-36
1772651170031,sta1,200,20.519,ap1,-36
1772651170031,sta2,200,21.561,ap1,-36
1772651170101,sta2,200,19.432,ap1,-36
1772651170102,sta1,200,20.071,ap1,-36
1772651170171,sta1,200,19.272,ap1,-36
1772651170172,sta2,200,20.04,ap1,-36
1772651170240,sta1,200,18.268,ap1,-36
1772651170242,sta2,200,19.641,ap1,-36
1772651170311,sta1,200,20.116,ap1,-36
1772651170311,sta2,200,18.749,ap1,-36
1772651170378,sta1,200,16.972,ap1,-36
1772651170378,sta2,200,17.118,ap1,-36
1772651170446,sta2,200,17.015,ap1,-36
1772651170446,sta1,200,17.825,ap1,-36
1772651170516,sta2,200,19.529,ap1,-36
1772651170516,sta1,200,19.144,ap1,-36
1772651170585,sta2,200,18.847,ap1,-36
1772651170586,sta1,200,18.969,ap1,-36
1772651170654,sta2,200,17.958,ap1,-36
1772651170654,sta1,200,17.941,ap1,-36
1772651170729,sta2,200,25.031,ap1,-36
1772651170730,sta1,200,25.661,ap1,-36
1772651170804,sta2,200,24.381,ap1,-36
1772651170805,sta1,200,24.34,ap1,-36
1772651170882,sta2,200,27.587,ap1,-36
1772651170882,sta1,200,27.688,ap1,-36
1772651170960,sta2,200,27.369,ap1,-36
1772651170960,sta1,200,27.501,ap1,-36
1772651171041,sta1,200,30.274,ap1,-36
1772651171042,sta2,200,31.192,ap1,-36
1772651171118,sta2,200,25.419,ap1,-36
1772651171118,sta1,200,26.675,ap1,-36
1772651171197,sta2,200,28.964,ap1,-36
1772651171197,sta1,200,28.498,ap1,-36
1772651171273,sta1,200,25.274,ap1,-36
1772651171274,sta2,200,25.864,ap1,-36
1772651171350,sta1,200,26.688,ap1,-36
1772651171352,sta2,200,28.026,ap1,-36
1772651171425,sta1,200,24.552,ap1,-36
1772651171426,sta2,200,24.106,ap1,-36
1772651171503,sta2,200,26.61,ap1,-36
1772651171503,sta1,200,27.811,ap1,-36
1772651171581,sta2,200,27.639,ap1,-36
1772651171582,sta1,200,27.483,ap1,-36
1772651171659,sta2,200,27.519,ap1,-36
1772651171660,sta1,200,27.947,ap1,-36
1772651171738,sta1,200,26.963,ap1,-36
1772651171738,sta2,200,27.696,ap1,-36
1772651171813,sta2,200,25.003,ap1,-36
1772651171814,sta1,200,26.008,ap1,-36
1772651171891,sta2,200,27.147,ap1,-36
1772651171891,sta1,200,26.729,ap1,-36
1772651171966,sta2,200,24.886,ap1,-36
1772651171967,sta1,200,25.464,ap1,-36
1772651172043,sta1,200,24.916,ap1,-36
1772651172043,sta2,200,26.03,ap1,-36
1772651172119,sta1,200,25.844,ap1,-36
1772651172120,sta2,200,26.325,ap1,-36
1772651172197,sta2,200,26.813,ap1,-36
1772651172198,sta1,200,27.974,ap1,-36
1772651172274,sta1,200,26.169,ap1,-36
1772651172275,sta2,200,27.445,ap1,-36
1772651172349,sta1,200,24.68,ap1,-36
1772651172350,sta2,200,25.067,ap1,-36
1772651172427,sta1,200,27.211,ap1,-36
1772651172427,sta2,200,26.908,ap1,-36
1772651172502,sta2,200,24.955,ap1,-36
1772651172503,sta1,200,25.613,ap1,-36
1772651172579,sta2,200,25.784,ap1,-36
1772651172580,sta1,200,26.174,ap1,-36
1772651172654,sta2,200,24.657,ap1,-36
1772651172655,sta1,200,24.869,ap1,-36
1772651172729,sta1,200,24.209,ap1,-36
1772651172730,sta2,200,25.754,ap1,-36
1772651172805,sta1,200,25.609,ap1,-36
1772651172806,sta2,200,24.986,ap1,-36
1772651172883,sta1,200,27.342,ap1,-36
1772651172884,sta2,200,27.754,ap1,-36
1772651172961,sta2,200,26.634,ap1,-36
1772651172961,sta1,200,27.321,ap1,-36
1772651173036,sta1,200,24.447,ap1,-36
1772651173037,sta2,200,25.437,ap1,-36
1772651173111,sta1,200,24.366,ap1,-36
1772651173112,sta2,200,24.768,ap1,-36
1772651173189,sta1,200,28.269,ap1,-36
1772651173190,sta2,200,27.563,ap1,-36
1772651173267,sta1,200,27.038,ap1,-36
1772651173267,sta2,200,27.253,ap1,-36
1772651173343,sta1,200,25.772,ap1,-36
1772651173344,sta2,200,26.115,ap1,-36
1772651173420,sta1,200,26.324,ap1,-36
1772651173420,sta2,200,25.813,ap1,-36
1772651173498,sta2,200,27.548,ap1,-36
1772651173498,sta1,200,28.034,ap1,-36
1772651173577,sta2,200,27.818,ap1,-36
1772651173577,sta1,200,28.586,ap1,-36
1772651173652,sta1,200,24.195,ap1,-36
1772651173652,sta2,200,24.837,ap1,-36
1772651173727,sta2,200,24.868,ap1,-36
1772651173728,sta1,200,26.05,ap1,-36
1772651173802,sta2,200,24.226,ap1,-36
1772651173804,sta1,200,24.827,ap1,-36
1772651173879,sta1,200,24.978,ap1,-36
1772651173879,sta2,200,26.449,ap1,-36
1772651173956,sta1,200,26.246,ap1,-36
1772651173956,sta2,200,26.315,ap1,-36
1772651174031,sta2,200,24.735,ap1,-36
1772651174032,sta1,200,25.48,ap1,-36
1772651174107,sta2,200,25.694,ap1,-36
1772651174108,sta1,200,26.394,ap1,-36
1772651174185,sta2,200,27.094,ap1,-36
1772651174186,sta1,200,27.059,ap1,-36
1772651174264,sta1,200,27.567,ap1,-36
1772651174264,sta2,200,28.58,ap1,-36
1772651174340,sta1,200,25.686,ap1,-36
1772651174340,sta2,200,25.732,ap1,-36
1772651174416,sta2,200,25.372,ap1,-36
1772651174417,sta1,200,26.574,ap1,-36
1772651174495,sta1,200,27.371,ap1,-36
1772651174495,sta2,200,28.305,ap1,-36
1772651174575,sta2,200,28.985,ap1,-36
1772651174575,sta1,200,29.654,ap1,-36
1772651174651,sta2,200,25.426,ap1,-36
1772651174651,sta1,200,25.815,ap1,-36
1772651174727,sta2,200,26.013,ap1,-36
1772651174752,sta1,200,24.49,ap1,-36
1772651174804,sta2,200,25.698,ap1,-36
1772651174828,sta1,200,25.243,ap1,-36
1772651174881,sta2,200,26.637,ap1,-36
1772651174903,sta1,200,24.713,ap1,-36
1772651174957,sta2,200,25.363,ap1,-36
1772651174978,sta1,200,24.389,ap1,-36
1772651175033,sta2,200,25.819,ap1,-36
1772651175052,sta1,200,23.987,ap1,-36
1772651175108,sta2,200,24.466,ap1,-36
1772651175126,sta1,200,22.971,ap1,-36
1772651175183,sta2,200,24.522,ap1,-36
1772651175202,sta1,200,26.083,ap1,-36
1772651175257,sta2,200,24.378,ap1,-36
1772651175278,sta1,200,25.029,ap1,-36
1772651175332,sta2,200,23.742,ap1,-36
1772651175352,sta1,200,24.174,ap1,-36
1772651175406,sta2,200,23.823,ap1,-36
1772651175426,sta1,200,22.937,ap1,-36
1772651175481,sta2,200,24.39,ap1,-36
1772651175501,sta1,200,25.251,ap1,-36
1772651175555,sta2,200,23.832,ap1,-36
1772651175577,sta1,200,25.372,ap1,-36
1772651175630,sta2,200,24.646,ap1,-36
1772651175653,sta1,200,25.128,ap1,-36
1772651175705,sta2,200,24.908,ap1,-36
1772651175728,sta1,200,25.124,ap1,-36
1772651175781,sta2,200,24.553,ap1,-36
1772651175804,sta1,200,25.038,ap1,-36
1772651175857,sta2,200,26.043,ap1,-36
1772651175880,sta1,200,25.763,ap1,-36
1772651175933,sta2,200,25.849,ap1,-36
1772651175956,sta1,200,25.697,ap1,-36
1772651176008,sta2,200,23.996,ap1,-36
1772651176031,sta1,200,24.319,ap1,-36
1772651176082,sta2,200,23.647,ap1,-36
1772651176104,sta1,200,23.294,ap1,-36
1772651176156,sta2,200,23.948,ap1,-36
1772651176178,sta1,200,23.728,ap1,-36
1772651176231,sta2,200,24.179,ap1,-36
1772651176253,sta1,200,24.103,ap1,-36
1772651176306,sta2,200,23.975,ap1,-36
1772651176327,sta1,200,23.917,ap1,-36
1772651176382,sta2,200,25.524,ap1,-36
1772651176402,sta1,200,24.3,ap1,-36
1772651176457,sta2,200,24.942,ap1,-36
1772651176477,sta1,200,24.673,ap1,-36
1772651176532,sta2,200,24.496,ap1,-36
1772651176552,sta1,200,24.005,ap1,-36
1772651176606,sta2,200,24.167,ap1,-36
1772651176627,sta1,200,24.593,ap1,-36
1772651176683,sta2,200,25.681,ap1,-36
1772651176703,sta1,200,25.988,ap1,-36
1772651176757,sta2,200,23.41,ap1,-36
1772651176778,sta1,200,24.236,ap1,-36
1772651176831,sta2,200,23.839,ap1,-36
1772651176852,sta1,200,23.682,ap1,-36
1772651176906,sta2,200,25.1,ap1,-36
1772651176926,sta1,200,23.707,ap1,-36
1772651176981,sta2,200,23.809,ap1,-36
1772651177001,sta1,200,24.51,ap1,-36
1772651177055,sta2,200,23.855,ap1,-36
1772651177075,sta1,200,23.556,ap1,-36
1772651177131,sta2,200,25.262,ap1,-36
1772651177151,sta1,200,25.474,ap1,-36
1772651177206,sta2,200,24.441,ap1,-36
1772651177226,sta1,200,24.945,ap1,-36
1772651177281,sta2,200,24.698,ap1,-36
1772651177300,sta1,200,23.075,ap1,-36
1772651177355,sta2,200,23.541,ap1,-36
1772651177374,sta1,200,23.679,ap1,-36
1772651177429,sta2,200,23.627,ap1,-36
1772651177449,sta1,200,24.49,ap1,-36
1772651177504,sta2,200,24.409,ap1,-36
1772651177523,sta1,200,23.736,ap1,-36
1772651177578,sta2,200,23.713,ap1,-36
1772651177598,sta1,200,24.868,ap1,-36
1772651177654,sta2,200,25.445,ap1,-36
1772651177672,sta1,200,23.3,ap1,-36
1772651177729,sta2,200,24.483,ap1,-36
1772651177748,sta1,200,25.822,ap1,-36
1772651177805,sta2,200,25.664,ap1,-36
1772651177824,sta1,200,25.691,ap1,-36
1772651177879,sta2,200,23.666,ap1,-36
1772651177899,sta1,200,24.554,ap1,-36
1772651177953,sta2,200,23.706,ap1,-36
1772651177974,sta1,200,24.258,ap1,-36
1772651178028,sta2,200,24.17,ap1,-36
1772651178049,sta1,200,24.085,ap1,-36
1772651178102,sta2,200,23.985,ap1,-36
1772651178124,sta1,200,25.206,ap1,-36
1772651178178,sta2,200,25.344,ap1,-36
1772651178200,sta1,200,25.137,ap1,-36
1772651178252,sta2,200,23.573,ap1,-36
1772651178275,sta1,200,24.832,ap1,-36
1772651178328,sta2,200,25.199,ap1,-36
1772651178351,sta1,200,25.821,ap1,-36
1772651178403,sta2,200,24.736,ap1,-36
1772651178425,sta1,200,23.548,ap1,-36
1772651178480,sta2,200,25.849,ap1,-36
1772651178502,sta1,200,25.858,ap1,-36
1772651178555,sta2,200,25.347,ap1,-36
