ts_ms,sta,status_code,latency_ms
1772648190946,sta2,200,21.536
1772648190946,sta1,200,22.078
1772648191016,sta2,200,19.709
1772648191017,sta1,200,19.689
1772648191084,sta1,200,17.147
1772648191084,sta2,200,17.657
1772648191154,sta1,200,18.965
1772648191154,sta2,200,18.982
1772648191220,sta1,200,16.438
1772648191221,sta2,200,16.239
1772648191289,sta1,200,18.214
1772648191289,sta2,200,18.244
1772648191359,sta1,200,19.313
1772648191359,sta2,200,19.521
1772648191429,sta2,200,19.459
1772648191430,sta1,200,20.936
1772648191497,sta2,200,17.288
1772648191500,sta1,200,18.942
1772648191567,sta1,200,16.487
1772648191567,sta2,200,19.498
1772648191635,sta1,200,18.080
1772648191637,sta2,200,19.186
1772648191703,sta1,200,17.166
1772648191704,sta2,200,17.256
1772648191772,sta1,200,18.497
1772648191772,sta2,200,17.788
1772648191841,sta1,200,18.537
1772648191841,sta2,200,18.674
1772648191910,sta1,200,19.041
1772648191910,sta2,200,18.832
1772648195071,sta1,000000,3110.322
1772648196094,sta2,000000,4133.372
1772648198205,sta1,000000,3083.703
1772648199231,sta2,000000,3085.828
1772648201343,sta1,000000,3086.941
1772648202366,sta2,000000,3085.192
1772648204478,sta1,000000,3084.468
1772648205503,sta2,000000,3085.594
1772648207615,sta1,000000,3085.996
1772648208639,sta2,000000,3085.297
1772648210750,sta1,000000,3084.972
1772648211774,sta2,000000,3085.015
1772648213886,sta1,000000,3084.644
1772648214911,sta2,000000,3086.297
1772648217023,sta1,000000,3086.949
1772648218047,sta2,000000,3084.595
1772648220157,sta1,000000,3083.302
1772648221183,sta2,000000,3085.482
1772648223294,sta1,000000,3086.115
1772648224317,sta2,000000,3083.731
1772648226431,sta1,000000,3086.251
1772648227455,sta2,000000,3087.598
1772648229567,sta1,000000,3084.670
1772648230590,sta2,000000,3084.006
1772648232701,sta1,000000,3084.111
1772648233727,sta2,000000,3086.473
1772648235837,sta1,000000,3085.646
1772648236864,sta2,000000,3085.538
1772648238973,sta1,000000,3085.245
1772648239998,sta2,000000,3083.912
1772648242111,sta1,000000,3087.341
1772648243135,sta2,000000,3085.732
1772648245247,sta1,000000,3084.490
1772648246270,sta2,000000,3084.707
1772648248382,sta1,000000,3084.654
