ts_ms,sta,status_code,latency_ms,ap,rssi_dbm
1772648801524,sta2,200,19.489,ap1,-36.0
1772648801524,sta1,200,20.613,ap1,-36.0
1772648801593,sta1,200,18.094,ap1,-36.0
1772648801593,sta2,200,19.166,ap1,-36.0
1772648801662,sta1,200,18.802,ap1,-36.0
1772648801665,sta2,200,18.494,ap1,-36.0
1772648801731,sta1,200,17.972,ap1,-36.0
1772648801731,sta2,200,15.561,ap1,-36.0
1772648801801,sta1,200,19.311,ap1,-36.0
1772648801801,sta2,200,19.387,ap1,-36.0
1772648801869,sta1,200,17.691,ap1,-36.0
1772648801869,sta2,200,17.933,ap1,-36.0
1772648801938,sta2,200,18.547,ap1,-36.0
1772648801938,sta1,200,19.129,ap1,-36.0
1772648802006,sta1,200,17.095,,
1772648802006,sta2,200,17.458,,
1772648802069,sta1,200,12.92,,
1772648802070,sta2,200,13.999,,
1772648802139,sta1,200,19.071,,
1772648802139,sta2,200,18.174,,
1772648802209,sta1,200,19.607,,
1772648802209,sta2,200,20.267,,
1772648802274,sta1,200,14.66,,
1772648802276,sta2,200,16.609,,
1772648802343,sta1,200,18.855,,
1772648802346,sta2,200,19.068,,
1772648802412,sta1,200,18.476,,
1772648802416,sta2,200,19.682,,
1772648802481,sta1,200,17.9,,
1772648802483,sta2,200,16.74,,
1772648802561,sta2,200,27.855,,
1772648805630,sta1,0,3099.292,,
1772648806719,sta2,0,4107.086,,
1772648808766,sta1,0,3084.946,,
1772648809789,sta2,0,3020.29,,
1772648811902,sta1,0,3085.124,,
1772648812926,sta2,0,3085.706,,
1772648815038,sta1,0,3085.576,,
1772648816063,sta2,0,3086.841,,
1772648818174,sta1,0,3085.679,,
1772648819199,sta2,0,3084.584,,
1772648821310,sta1,0,3085.219,,
1772648822335,sta2,0,3085.244,,
1772648824447,sta1,0,3085.148,,
1772648825470,sta2,0,3084.693,,
1772648827582,sta1,0,3085.083,,
1772648828606,sta2,0,3085.502,,
1772648830718,sta1,0,3085.086,,
1772648831743,sta2,0,3085.247,,
1772648833854,sta1,0,3084.709,,
1772648834878,sta2,0,3084.493,,
1772648836990,sta1,0,3085.657,,
1772648838014,sta2,0,3085.751,,
1772648840127,sta1,0,3085.801,,
1772648841151,sta2,0,3085.806,,
1772648843262,sta1,0,3084.698,,
1772648844286,sta2,0,3084.934,,
1772648846398,sta1,0,3084.733,,
1772648847423,sta2,0,3085.773,,
1772648849534,sta1,0,3085.468,,
1772648850558,sta2,0,3084.554,,
1772648852670,sta1,0,3085.423,,
1772648853694,sta2,0,3085.182,,
1772648855806,sta1,0,3084.915,,
1772648856831,sta2,0,3086.08,,
1772648858943,sta1,0,3085.649,,
1772648859966,sta2,0,3084.433,,
1772648862078,sta1,0,3084.466,,
1772648863103,sta2,0,3085.995,,
1772648865215,sta1,0,3086.124,,
1772648866239,sta2,0,3084.795,,
1772648868350,sta1,0,3084.116,,
1772648869374,sta2,0,3084.519,,
1772648871487,sta1,0,3086.762,,
1772648872511,sta2,0,3086.165,,
1772648874622,sta1,0,3083.997,,
1772648875647,sta2,0,3085.126,,
1772648877758,sta1,0,3085.168,,
1772648878783,sta2,0,3085.015,,
1772648880894,sta1,0,3085.727,,
1772648881919,sta2,0,3084.764,,
1772648884031,sta1,0,3085.635,,
1772648885055,sta2,0,3085.809,,
1772648887166,sta1,0,3084.888,,
1772648888191,sta2,0,3084.506,,
1772648890302,sta1,0,3085.073,,
1772648891327,sta2,0,3085.434,,
1772648893438,sta1,0,3085.171,,
1772648894462,sta2,0,3083.851,,
1772648896574,sta1,0,3085.378,,
1772648897598,sta2,0,3085.58,,
1772648899710,sta1,0,3084.955,,
1772648900735,sta2,0,3086.079,,
1772648902846,sta1,0,3085.435,,
1772648903870,sta2,0,3084.515,,
1772648905982,sta1,0,3085.341,,
1772648907006,sta2,0,3085.232,,
1772648909119,sta1,0,3085.687,,
1772648910142,sta2,0,3084.616,,
1772648912254,sta1,0,3084.475,,
