ts_ms,sta,ap,rssi_dbm
1772648801506,sta1,ap1,-36
1772648801527,sta2,ap1,-36
1772648802546,sta1,,
1772648802596,sta2,,
1772648805634,sta1,,
1772648806721,sta2,,
1772648808769,sta1,,
1772648809792,sta2,,
1772648811904,sta1,,
1772648812929,sta2,,
1772648815041,sta1,,
1772648816067,sta2,,
1772648818178,sta1,,
1772648819202,sta2,,
1772648821314,sta1,,
1772648822338,sta2,,
1772648824450,sta1,,
1772648825473,sta2,,
1772648827586,sta1,,
1772648828610,sta2,,
1772648830721,sta1,,
1772648831746,sta2,,
1772648833857,sta1,,
1772648834881,sta2,,
1772648836994,sta1,,
1772648838017,sta2,,
1772648840131,sta1,,
1772648841154,sta2,,
1772648843266,sta1,,
1772648844289,sta2,,
1772648846401,sta1,,
1772648847426,sta2,,
1772648849538,sta1,,
1772648850561,sta2,,
1772648852674,sta1,,
1772648853697,sta2,,
1772648855809,sta1,,
1772648856835,sta2,,
1772648858947,sta1,,
1772648859970,sta2,,
1772648862081,sta1,,
1772648863106,sta2,,
1772648865218,sta1,,
1772648866242,sta2,,
1772648868353,sta1,,
1772648869377,sta2,,
1772648871491,sta1,,
1772648872514,sta2,,
1772648874625,sta1,,
1772648875651,sta2,,
1772648877761,sta1,,
1772648878786,sta2,,
1772648880898,sta1,,
1772648881922,sta2,,
1772648884034,sta1,,
1772648885059,sta2,,
1772648887170,sta1,,
1772648888195,sta2,,
1772648890306,sta1,,
1772648891331,sta2,,
1772648893441,sta1,,
1772648894465,sta2,,
1772648896578,sta1,,
1772648897601,sta2,,
1772648899714,sta1,,
1772648900738,sta2,,
1772648902850,sta1,,
1772648903874,sta2,,
1772648905986,sta1,,
1772648907010,sta2,,
1772648909122,sta1,,
1772648910144,sta2,,
1772648912256,sta1,,
1772648912259,sta2,,
