ts_ms,sta,status_code,latency_ms
1772646864821,sta2,200,15.767
1772646864940,sta2,200,17.971
1772646865058,sta2,200,17.719
1772646865176,sta2,200,17.394
1772646865294,sta2,200,17.680
1772646865412,sta2,200,17.561
1772646865530,sta2,200,16.985
1772646865648,sta2,200,17.699
1772646865765,sta2,200,17.034
1772646865884,sta2,200,17.720
1772646866003,sta2,200,18.438
1772646866121,sta2,200,17.906
1772646866239,sta2,200,16.987
1772646866357,sta2,200,17.338
1772646866475,sta2,200,18.229
1772646866593,sta2,200,17.549
1772646866712,sta2,200,18.041
1772646866831,sta2,200,18.611
1772646866950,sta2,200,18.323
1772646867069,sta2,200,17.930
