ts_ms,sta,status_code,latency_ms,ap,rssi_dbm
1772647048179,sta2,200,18.124,ap1,-36
1772647048179,sta1,200,18.986,ap1,-36
1772647048300,sta1,200,20.956,ap1,-36
1772647048301,sta2,200,21.564,ap1,-36
1772647048420,sta2,200,18.548,ap1,-36
1772647048421,sta1,200,19.641,ap1,-36
1772647048541,sta1,200,19.804,ap1,-36
1772647048541,sta2,200,21.08,ap1,-36
1772647048661,sta2,200,19.228,ap1,-36
1772647048661,sta1,200,20.07,ap1,-36
1772647048779,sta1,200,17.602,ap1,-36
1772647048780,sta2,200,18.655,ap1,-36
1772647048898,sta2,200,17.708,ap1,-36
1772647048899,sta1,200,18.787,ap1,-36
1772647049019,sta1,200,20.187,ap1,-36
1772647049020,sta2,200,20.636,ap1,-36
1772647049137,sta1,200,17.232,ap1,-36
1772647049138,sta2,200,17.864,ap1,-36
1772647049255,sta1,200,17.318,ap1,-36
1772647049256,sta2,200,18.157,ap1,-36
1772647049374,sta1,200,18.753,ap1,-36
1772647049375,sta2,200,18.003,ap1,-36
1772647049496,sta2,200,19.985,ap1,-36
1772647049496,sta1,200,20.723,ap1,-36
1772647049618,sta1,200,21.056,ap1,-36
1772647049618,sta2,200,21.387,ap1,-36
1772647049736,sta2,200,17.99,ap1,-36
1772647049737,sta1,200,18.889,ap1,-36
1772647049855,sta2,200,17.654,ap1,-36
1772647049855,sta1,200,17.282,ap1,-36
1772647049975,sta1,200,19.477,ap1,-36
1772647049976,sta2,200,20.425,ap1,-36
1772647050098,sta1,200,21.918,ap1,-36
1772647050098,sta2,200,21.61,ap1,-36
1772647050216,sta1,200,18.057,ap1,-36
1772647050216,sta2,200,18.162,ap1,-36
1772647050336,sta1,200,19.508,ap1,-36
1772647050336,sta2,200,19.573,ap1,-36
1772647050459,sta2,200,22.054,ap1,-36
1772647050459,sta1,200,22.549,ap1,-36
