ts_ms,sta,status_code,latency_ms
1772647048179,sta2,200,18.124
1772647048179,sta1,200,18.986
1772647048300,sta1,200,20.956
1772647048301,sta2,200,21.564
1772647048420,sta2,200,18.548
1772647048421,sta1,200,19.641
1772647048541,sta1,200,19.804
1772647048541,sta2,200,21.080
1772647048661,sta2,200,19.228
1772647048661,sta1,200,20.070
1772647048779,sta1,200,17.602
1772647048780,sta2,200,18.655
1772647048898,sta2,200,17.708
1772647048899,sta1,200,18.787
1772647049019,sta1,200,20.187
1772647049020,sta2,200,20.636
1772647049137,sta1,200,17.232
1772647049138,sta2,200,17.864
1772647049255,sta1,200,17.318
1772647049256,sta2,200,18.157
1772647049374,sta1,200,18.753
1772647049375,sta2,200,18.003
1772647049496,sta2,200,19.985
1772647049496,sta1,200,20.723
1772647049618,sta1,200,21.056
1772647049618,sta2,200,21.387
1772647049736,sta2,200,17.990
1772647049737,sta1,200,18.889
1772647049855,sta2,200,17.654
1772647049855,sta1,200,17.282
1772647049975,sta1,200,19.477
1772647049976,sta2,200,20.425
1772647050098,sta1,200,21.918
1772647050098,sta2,200,21.610
1772647050216,sta1,200,18.057
1772647050216,sta2,200,18.162
1772647050336,sta1,200,19.508
1772647050336,sta2,200,19.573
1772647050459,sta2,200,22.054
1772647050459,sta1,200,22.549
