ts_ms,sta,status_code,latency_ms,ap,rssi_dbm
1772651692012,sta2,200,17.324,ap1,-36.0
1772651692016,sta1,200,20.998,,
1772651692081,sta2,200,17.933,ap1,-36.0
1772651692083,sta1,200,16.557,,
1772651692148,sta2,200,16.791,ap1,-36.0
1772651692150,sta1,200,16.211,,
1772651692216,sta2,200,17.478,ap1,-36.0
1772651692216,sta1,200,16.572,,
1772651692287,sta1,200,19.8,,
1772651692287,sta2,200,20.048,ap1,-36.0
1772651692357,sta1,200,19.612,,
1772651692357,sta2,200,19.472,ap1,-36.0
1772651692425,sta2,200,17.289,ap1,-36.0
1772651692426,sta1,200,18.361,,
1772651692491,sta1,200,15.253,,
1772651692493,sta2,200,17.159,ap1,-36.0
1772651692561,sta1,200,19.509,,
1772651692561,sta2,200,18.228,ap1,-36.0
1772651692628,sta1,200,16.721,,
1772651692629,sta2,200,16.955,ap1,-36.0
1772651692697,sta1,200,18.214,,
1772651692697,sta2,200,18.177,ap1,-36.0
1772651692764,sta2,200,16.442,ap1,-36.0
1772651692764,sta1,200,16.862,,
1772651692834,sta1,200,18.718,,
1772651692834,sta2,200,18.942,ap1,-36.0
1772651692903,sta1,200,18.724,,
1772651692903,sta2,200,18.678,ap1,-36.0
1772651692972,sta1,200,18.507,,
1772651692972,sta2,200,19.017,ap1,-36.0
1772651693037,sta1,200,14.97,ap1,-36.0
1772651693039,sta2,200,16.018,ap1,-36.0
1772651693104,sta1,200,16.521,ap1,-36.0
1772651693104,sta2,200,15.304,ap1,-36.0
1772651693172,sta2,200,17.707,ap1,-36.0
1772651693172,sta1,200,18.049,ap1,-36.0
1772651693242,sta1,200,18.83,ap1,-36.0
1772651693242,sta2,200,19.066,ap1,-36.0
1772651693309,sta1,200,16.926,ap1,-36.0
1772651693310,sta2,200,17.594,ap1,-36.0
1772651693377,sta2,200,16.623,ap1,-36.0
1772651693378,sta1,200,17.971,ap1,-36.0
1772651693447,sta2,200,19.779,ap1,-36.0
1772651693447,sta1,200,19.39,ap1,-36.0
1772651693516,sta2,200,18.772,ap1,-36.0
1772651693517,sta1,200,18.708,ap1,-36.0
1772651693584,sta1,200,16.737,ap1,-36.0
1772651693585,sta2,200,17.414,ap1,-36.0
1772651693652,sta2,200,17.073,ap1,-36.0
1772651693653,sta1,200,18.919,ap1,-36.0
1772651693722,sta2,200,18.978,ap1,-36.0
